Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00										RCB031717	deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
yes	yes	no	no	43	Olowalu	LLHS	MB	JM		OPP	OPP180809	2034	Papalaua Pali	2018-08-09	8:17	1	3	5	1	3	28	2	0	Still	OPP180809	26.5	34.6	6.63	100.6	8.16	7.31	6.34	7.20	6.95	0.076		3	0		0	2	0	
yes	yes	no	no	44	Olowalu	LLHS	LO	MG	LR	OPM	OPM180830	2073	Martin Hale	2018-08-30	7:15	2	1	6	2	2	20	3	1	Still	OPM180830	25.8	34.3	6.20	92.3	8.13	11.40	12.70	11.20	11.77	0.069		0	0		0	0	0	Lahaina fire 5 days previous of date. Blank pre-sample a little high.
yes	yes	no	no	44	Olowalu	LLHS	LO	MG	LR	OCO	OCO180830	2028	Camp Olowalu	2018-08-30	7:28	2	1	6	2	2	20	3	1	Still	OCO180830	26.0	34.3	6.21	92.8	8.11	3.62	3.31	3.42	3.45	0.046		1	0		0	0	0	
yes	yes	no	no	44	Olowalu	LLHS	LO	MG	LR	OUB	OUB180830	2032	Ukumehame	2018-08-30	7:50	2	1	6	2	2	20	3	1	Still	OUB180830	24.8	34.5	6.77	99.2	8.16	18.60	18.10	20.00	18.90	0.052		2	2		0	0	0	
yes	yes	no	no	44	Olowalu	LLHS	LO	MG	LR	OPB	OPB180830	2033	Papalaua Beach	2018-08-30	8:03	2	1	6	2	2	20	3	1	Still	OPB180830	25.0	34.3	6.77	99.6	8.17	5.79	5.30	5.20	5.43	0.058		2	3		0	0	0	Slight drizzle
yes	yes	no	no	44	Olowalu	LLHS	LO	MG	LR	OPP	OPP180830	2034	Papalaua Pali	2018-08-30	8:15	2	1	6	2	2	20	3	1	Still	OPP180830	25.6	34.1	6.47	95.8	8.15	14.00	13.70	12.60	13.43	0.055		2	3		0	0	0	DO display on meter intermitant
yes	yes	no	no	45	Olowalu	LLHS	LO	MG	RN	OPM	OPM180920	2073	Martin Hale	2018-09-20	7:20	1	3	5	1	3	11	0	0	0	OPM180920	27.0	34.3	5.28	80.6	8.03	1.44	1.40	1.73	1.52	0.118		0	0	0	0	0	0	no rain in last 24 hours
yes	yes	no	no	45	Olowalu	LLHS	LO	MG	RN	OCO	OCO180920	2028	Camp Olowalu	2018-09-20	7:33	1	3	5	1	3	11	0	0	0	OCO180920	27.3	34.4	6.02	92.4	8.11	2.15	2.20	2.15	2.17	0.013		0	0	0	0	6	0	no rain in last 24 hours
yes	yes	no	no	45	Olowalu	LLHS	LO	MG	RN	OUB	OUB180920	2032	Ukumehame	2018-09-20	7:55	1	3	5	1	3	11	0	0	0	OUB180920	27.3	34.6	6.39	98.1	8.12	15.20	15.40	15.50	15.37	0.010		2	0	0	8	1	0	no rain in last 24 hours
yes	yes	no	no	45	Olowalu	LLHS	LO	MG	RN	OPB	OPB180920	2033	Papalaua Beach	2018-09-20	8:10	1	3	5	1	3	11	0	0	0	OPB180920	27.6	34.6	6.57	101.5	8.14	6.90	6.49	6.55	6.65	0.033		2	0	0	0	2	0	no rain in last 24 hours
yes	yes	no	no	45	Olowalu	LLHS	LO	MG	RN	OPP	OPP180920	2034	Papalaua Pali	2018-09-20	8:21	1	3	5	1	3	11	0	0	0	OPP180920	27.6	34.4	6.45	99.4	8.14	4.78	5.37	4.83	4.99	0.066		2	0	0	0	2	0	no rain in last 24 hours
yes	yes	no	no	46	Olowalu	LLHS	LO	MG	LR	OPM	OPM181011	2073	Martin Hale	2018-10-11	7:14	2	1	6	2	2					OPM181011	27.0	34.6	6.28	95.7	8.11	17.00	18.10	18.10	17.73	0.036					0	0	0	Pre-sampling tubidity blank > 0.1
yes	yes	no	no	46	Olowalu	LLHS	LO	MG	LR	OCO	OCO181011	2028	Camp Olowalu	2018-10-11	7:34	2	1	6	2	2					OCO181011	27.7	34.6	6.41	98.7	8.12	24.20	23.80	23.30	23.77	0.019					0	0	0	
yes	yes	no	no	46	Olowalu	LLHS	LO	MG	LR	OUB	OUB181011	2032	Ukumehame	2018-10-11	7:50	2	1	6	2	2					OUB181011	27.5	34.6	6.49	99.8	8.17	6.54	6.82	6.41	6.59	0.032					20	2	0	The swimmers were all serfers
yes	yes	no	no	46	Olowalu	LLHS	LO	MG	LR	OPB	OPB181011	2033	Papalaua Beach	2018-10-11	8:00	2	1	6	2	2					OPB181011	27.4	34.5	6.61	101.4	8.16	6.79	7.11	6.86	6.92	0.024					0	0	0	
yes	yes	no	no	46	Olowalu	LLHS	LO	MG	LR	OPP	OPP181011	2034	Papalaua Pali	2018-10-11	8:12	2	1	6	2	2					OPP181011	27.5	34.5	6.57	101.0	8.14	5.43	6.09	5.88	5.80	0.058					0	0	0	
yes	yes	no	no	47	Olowalu	LLHS	LO	MG	RN	OPM	OPM181101	2073	Martin Hale	2018-11-01	7:13	1	3	5	1	3					OPM181101	26.8	34.5	5.51	83.7	8.03	1.36	2.36	2.47	2.06	0.296					0	0	0	
yes	yes	no	no	47	Olowalu	LLHS	LO	MG	RN	OCO	OCO181101	2028	Camp Olowalu	2018-11-01	7:24	1	3	5	1	3					OCO181101	27.5	34.4	5.80	89.1	8.08	3.76	3.72	3.49	3.66	0.040					0	0	0	
yes	yes	no	no	47	Olowalu	LLHS	LO	MG	RN	OUB	OUB181101	2032	Ukumehame	2018-11-01	7:40	1	3	5	1	3					OUB181101	27.2	34.5	6.43	98.3	8.13	23.30	24.50	23.60	23.80	0.026					1	1	0	
yes	yes	no	no	47	Olowalu	LLHS	LO	MG	RN	OPB	OPB181101	2033	Papalaua Beach	2018-11-01	7:54	1	3	5	1	3					OPB181101	27.0	34.4	6.60	100.5	8.11	7.67	8.44	7.29	7.80	0.075					0	0	0	
yes	yes	no	no	47	Olowalu	LLHS	LO	MG	RN	OPP	OPP181101	2034	Papalaua Pali	2018-11-01	8:02	1	3	5	1	3					OPP181101	27.3	34.4	6.45	98.6	8.13	8.06	8.45	8.45	8.32	0.027					2	2	0	
yes	yes	no	no	48	Olowalu	LLHS	LO	JS	LR	OPM	OPM181129	2073	Martin Hale	2018-11-29	7:15	2	1	6	2	2					OPM181129	24.4	34.7	5.42	78.8	8.07	1.60	1.93	2.02	1.85	0.120					0	0	0	
yes	yes	no	no	48	Olowalu	LLHS	LO	JS	LR	OCO	OCO181129	2028	Camp Olowalu	2018-11-29	7:32	2	1	6	2	2					OCO181129	24.9	34.9	6.47	95.0	8.15	1.22	1.03	1.10	1.12	0.086					2	1	0	
yes	yes	no	no	48	Olowalu	LLHS	LO	JS	LR	OUB	OUB181129	2032	Ukumehame	2018-11-29	7:48	2	1	6	2	2					OUB181129	24.9	34.8	6.28	92.2	8.17	7.40	7.65	7.46	7.50	0.017					0	0	0	
yes	yes	no	no	48	Olowalu	LLHS	LO	JS	LR	OPB	OPB181129	2033	Papalaua Beach	2018-11-29	8:00	2	1	6	2	2					OPB181129	25.3	35.0	6.45	95.4	8.18	3.85	3.88	3.64	3.79	0.035					0	0	0	
yes	yes	no	no	48	Olowalu	LLHS	LO	JS	LR	OPP	OPP181129	2034	Papalaua Pali	2018-11-29	8:13	2	1	6	2	2					OPP181129	25.7	34.8	6.59	98.2	8.21	6.51	6.37	6.94	6.61	0.045					0	0	0	
yes	yes	no	no	49	Olowalu	LLHS		MG	RN	OPM	OPM181213	2073	Martin Hale	2018-12-13	7:22	1	3	5	1	3					OPM181213	22.9	34.7	6.24	88.2	8.06	3.34	3.59	3.86	3.60	0.072					0	0	0	
yes	yes	no	no	49	Olowalu	LLHS		MG	RN	OCO	OCO181213	2028	Camp Olowalu	2018-12-13	7:41	1	3	5	1	3					OCO181213	22.8	34.7	6.37	90.0	8.10	1.11	1.18	1.11	1.13	0.036					0	3	0	
yes	yes	no	no	49	Olowalu	LLHS		MG	RN	OUB	OUB181213	2032	Ukumehame	2018-12-13	7:56	1	3	5	1	3					OUB181213	22.3	34.9	6.86	96.1	8.13	7.41	7.26	6.99	7.22	0.029					0	0	0	
yes	yes	no	no	49	Olowalu	LLHS		MG	RN	OPB	OPB181213	2033	Papalaua Beach	2018-12-13	8:15	1	3	5	1	3					OPB181213	23.3	34.8	6.84	97.4	8.17	9.63	10.50	9.96	10.03	0.044					0	0	0	
yes	yes	no	no	49	Olowalu	LLHS		MG	RN	OPP	OPP181213	2034	Papalaua Pali	2018-12-13	8:26	1	3	5	1	3					OPP181213	23.9	34.4	6.45	92.4	8.11	5.36	5.30	5.19	5.28	0.016					0	0	0	
yes	yes	no	no	50	Olowalu	LLHS	LO	JS	LR	OPM	OPM190110	2073	Martin Hale	2019-01-10	7:18	2	3	6	2	2					OPM190110	23.9	34.6	6.05	87.0	8.04	6.16	6.47	6.47	6.37	0.028					0	0	0	
yes	yes	no	no	50	Olowalu	LLHS	LO	JS	LR	OCO	OCO190110	2028	Camp Olowalu	2019-01-10	7:32	2	3	6	2	2					OCO190110	24.4	34.4	6.58	95.3	8.10	3.54	3.60	3.77	3.64	0.033					4	10	0	Kayak tour group at site - 4 kayaks in the water and 5 on land about to launch
yes	yes	no	no	50	Olowalu	LLHS	LO	JS	LR	OUB	OUB190110	2032	Ukumehame	2019-01-10	7:50	2	3	6	2	2					OUB190110	24.3	34.7	6.55	94.8	8.12	13.90	14.50	14.10	14.17	0.022					0	0	0	
yes	yes	no	no	50	Olowalu	LLHS	LO	JS	LR	OPB	OPB190110	2033	Papalaua Beach	2019-01-10	8:00	2	3	6	2	2					OPB190110	24.5	34.7	6.40	93.0	8.13	2.62	2.95	2.60	2.72	0.072					0	0	0	
yes	yes	no	no	50	Olowalu	LLHS	LO	JS	LR	OPP	OPP190110	2034	Papalaua Pali	2019-01-10	8:13	2	3	6	2	2					OPP190110	24.5	34.4	6.75	97.8	8.18	4.31	3.78	4.01	4.03	0.066					0	2	0	
yes	yes	no	no	51	Olowalu	LLHS	LO	LR	RN	OPM	OPM190131	2073	Martin Hale	2019-01-31	7:10	1	1	5	1	3					OPM190131	23.0	34.3	5.80	82.5	8.08	2.22	2.21	2.04	2.16	0.047					0	0	0	Light drizzle encountered, lid for bucket used
yes	yes	no	no	51	Olowalu	LLHS	LO	LR	RN	OCO	OCO190131	2028	Camp Olowalu	2019-01-31	7:27	1	1	5	1	3					OCO190131	23.6	34.7	6.46	93.1	8.16	1.50	1.42	1.70	1.54	0.094					0	10	0	
yes	yes	no	no	51	Olowalu	LLHS	LO	LR	RN	OUB	OUB190131	2032	Ukumehame	2019-01-31	7:43	1	1	5	1	3					OUB190131	22.9	34.5	6.72	95.6	8.18	2.02	2.23	2.20	2.15	0.053					0	0	0	
yes	yes	no	no	51	Olowalu	LLHS	LO	LR	RN	OPB	OPB190131	2033	Papalaua Beach	2019-01-31	7:55	1	1	5	1	3					OPB190131	23.1	34.4	6.69	95.4	8.17	3.05	3.82	3.65	3.51	0.115					1	0	0	
yes	yes	no	no	51	Olowalu	LLHS	LO	LR	RN	OPP	OPP190131	2034	Papalaua Pali	2019-01-31	8:10	1	1	5	1	3					OPP190131	23.4	34.6	6.60	94.9	8.17	1.50	1.51	1.78	1.60	0.099					0	1	2	
yes	yes	no	no	52	Olowalu	LLHS	LO	RN	LR	OPM	OPM190221	2073	Martin Hale	2019-02-21	7:07	2	3	6	2	2					OPM190221	23.2	34.5	6.60	94.1	8.12	13.10	13.70	12.70	13.17	0.038					0	0	0	
yes	yes	no	no	52	Olowalu	LLHS	LO	RN	LR	OCO	OCO190221	2028	Camp Olowalu	2019-02-21	7:22	2	3	6	2	2					OCO190221	24.1	34.5	6.20	89.7	8.12	1.31	1.44	1.45	1.40	0.056					2	12	0	
yes	yes	no	no	52	Olowalu	LLHS	LO	RN	LR	OUB	OUB190221	2032	Ukumehame	2019-02-21	7:36	2	3	6	2	2					OUB190221	23.9	34.5	6.52	93.9	8.15	2.65	2.69	2.83	2.72	0.035					0	2	2	
yes	yes	no	no	52	Olowalu	LLHS	LO	RN	LR	OPB	OPB190221	2033	Papalaua Beach	2019-02-21	7:51	2	3	6	2	2					OPB190221	24.1	34.5	6.79	98.3	8.15	10.40	10.70	10.90	10.67	0.024					0	2	0	
yes	yes	no	no	52	Olowalu	LLHS	LO	RN	LR	OPP	OPP190221	2034	Papalaua Pali	2019-02-21	8:01	2	3	6	2	2					OPP190221	23.8	34.7	6.69	96.4	8.19	4.56	4.67	4.54	4.59	0.015					0	2	0	
yes	yes	no	no	53	Olowalu	LLHS		JS	RN	OPM	OPM190314	2073	Martin Hale	2019-03-14	7:10	1	3	5	1	3					OPM190314	22.6	33.5	6.03	85.4	8.04	9.52	10.60	10.20	10.11	0.054					0	0	0	Salinity at OPM was above 35.0 on second test
yes	yes	no	no	53	Olowalu	LLHS		JS	RN	OCO	OCO190314	2028	Camp Olowalu	2019-03-14	7:33	1	3	5	1	3					OCO190314	23.7	35.4	6.56	94.7	8.09	2.40	2.53	2.68	2.54	0.055					10	10	0	
yes	yes	no	no	53	Olowalu	LLHS		JS	RN	OUB	OUB190314	2032	Ukumehame	2019-03-14	7:55	1	3	5	1	3					OUB190314	23.1	35.5	6.77	96.7	8.13	5.77	5.90	5.96	5.88	0.017					0	1	0	Took 4th turbidity reading at OPM since 3rd was greater over 20% difference with the first two readings.
yes	yes	no	no	53	Olowalu	LLHS		JS	RN	OPB	OPB190314	2033	Papalaua Beach	2019-03-14	8:16	1	3	5	1	3					OPB190314	23.0	35.8	6.98	99.9	8.17	6.85	6.80	7.71	7.12	0.072					0	1	0	
yes	yes	no	no	53	Olowalu	LLHS		JS	RN	OPP	OPP190314	2034	Papalaua Pali	2019-03-14	8:37	1	3	5	1	3					OPP190314	23.4	35.4	6.97	100.0	8.17	2.49	2.09	2.11	2.23	0.101					0	2	0	
yes	yes	no	no	54	Olowalu	LLHS	LR	JS	LO	OPM	OPM190404	2073	Martin Hale	2019-04-04	7:12	1	3	5	1	3					OPM190404	22.9	35.8	6.09	86.7	8.11	2.59	2.26	2.43	2.43	0.068					0	0	0	
yes	yes	no	no	54	Olowalu	LLHS	LR	JS	LO	OCO	OCO190404	2028	Camp Olowalu	2019-04-04	7:24	1	3	5	1	3					OCO190404	23.9	35.8	6.25	90.6	8.12	1.72	1.70	1.78	1.73	0.024					0	5	0	
yes	yes	no	no	54	Olowalu	LLHS	LR	JS	LO	OUB	OUB190404	2032	Ukumehame	2019-04-04	7:39	1	3	5	1	3					OUB190404	24.7	35.9	6.46	94.6	8.15	3.17	2.95	3.10	3.07	0.037					0	7	0	
yes	yes	no	no	54	Olowalu	LLHS	LR	JS	LO	OPB	OPB190404	2033	Papalaua Beach	2019-04-04	7:50	1	3	5	1	3					OPB190404	24.3	36.0	6.80	99.3	8.15	4.36	4.17	4.12	4.22	0.030					0	0	0	
yes	yes	no	no	54	Olowalu	LLHS	LR	JS	LO	OPP	OPP190404	2034	Papalaua Pali	2019-04-04	8:02	1	3	5	1	3					OPP190404	24.0	35.7	6.71	97.3	8.17	3.21	3.17	3.42	3.27	0.041					0	0	0	
	yes	no	no	55	Olowalu	LLHS	RN	JS	LR	OPM	OPM190425	2073	Martin Hale	2019-04-25	7:10	2	2	6	2	2					OPM190425	23.7	35.6	5.57	80.4	8.05	1.62	1.68	1.74	1.68	0.036					0	0	0	OCO - Did 2nd reading of salinity - value was the same
	yes	no	no	55	Olowalu	LLHS	RN	JS	LR	OCO	OCO190425	2028	Camp Olowalu	2019-04-25	7:30	2	2	6	2	2					OCO190425	24.4	35.7	6.30	92.2	8.08	3.76	3.88	4.04	3.89	0.036					0	0	0	OUB - Did 2nd reading of salinity - value was 35.9
	yes	no	no	55	Olowalu	LLHS	RN	JS	LR	OUB	OUB190425	2032	Ukumehame	2019-04-25	7:45	2	2	6	2	2					OUB190425	24.5	36.0	6.70	98.3	8.15	23.70	24.80	25.50	24.67	0.037					4	1	0	Had trouble getting D.O probe reading to pop up a few times but eventually it worked
	yes	no	no	55	Olowalu	LLHS	RN	JS	LR	OPB	OPB190425	2033	Papalaua Beach	2019-04-25	8:05	2	2	6	2	2					OPB190425	24.3	36.0	6.62	96.8	8.16	6.27	5.88	6.41	6.19	0.044					0	0	0	
	yes	no	no	55	Olowalu	LLHS	RN	JS	LR	OPP	OPP190425	2034	Papalaua Pali	2019-04-25	8:15	2	2	6	2	2					OPP190425	24.5	35.6	6.83	100.1	8.17	3.18	3.10	3.83	3.37	0.119					0	0	0	
	yes	no	no	56	Olowalu	LLHS	BB	JS		OPM	OPM190516	2073	Martin Hale	2019-05-16	7:20	1	3	5	1	3					OPM190516	25.8	35.9	5.85	87.8	8.08	1.36	1.24	1.36	1.32	0.052					0	0	0	OPM - Very low tide
	yes	no	no	56	Olowalu	LLHS	BB	JS		OCO	OCO190516	2028	Camp Olowalu	2019-05-16	7:40	1	3	5	1	3					OCO190516	26.2	35.5	6.54	98.6	8.07	10.60	12.20	10.70	11.17	0.080					0	0	0	
	yes	no	no	56	Olowalu	LLHS	BB	JS		OUB	OUB190516	2032	Ukumehame	2019-05-16	7:55	1	3	5	1	3					OUB190516	26.1	35.9	6.72	101.5	8.15	5.87	5.94	6.06	5.96	0.016					0	0	0	
	yes	no	no	56	Olowalu	LLHS	BB	JS		OPB	OPB190516	2033	Papalaua Beach	2019-05-16	8:20	1	3	5	1	3					OPB190516	26.1	36.0	7.07	106.7	8.20	3.09	3.24	3.31	3.21	0.035					0	0	0	
	yes	no	no	56	Olowalu	LLHS	BB	JS		OPP	OPP190516	2034	Papalaua Pali	2019-05-16	8:40	1	3	5	1	3					OPP190516	26.2	35.9	6.94	104.9	8.20	1.61	1.91	2.00	1.84	0.111					0	0	0	
