Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	2017-03-17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
yes	yes	no	no	12	North Kihei	NMS	RR	KT	FB	NKP	NKP180419		Kealia Pond	2018-04-19	8:40	2	2	2	2	2	4	7	1	Trades	NKP180419	24.8	35.0	6.74	98.9	8.18	2.82	3.96	2.77	3.18	0.211		1	2		0	1	0	
yes	yes	no	no	12	North Kihei	NMS	RR	KT	FB	NSB	NSB180419		Sugar Beach	2018-04-19	9:05	2	2	2	2	2	4	7	1	Trades	NSB180419	25.4	34.7	6.65	98.5	8.16	3.62	4.16	3.92	3.90	0.069		1	2		3	14	0	
yes	yes	no	no	12	North Kihei	NMS	RR	KT	FB	NKC	NKC180419		Kihei Canoe Club	2018-04-19	9:20	2	2	2	2	2	4	7	1	Trades	NKC180419	25.8	34.2	6.68	99.3	8.15	2.37	3.3	2.31	2.66	0.209		1	2		0	8	0	
yes	yes	no	no	12	North Kihei	NMS	RR	KT	FB	NMP	NMP180419		Mai Poina Oe Iau	2018-04-19	9:40	2	2	2	2	2	4	7	1	Trades	NMP180419	25.5	33.2	6.60	97.2	8.13	3.27	3.05	3.18	3.17	0.035		1	3		0	3	0	
yes	yes	no	no	12	North Kihei	NMS	RR	KT	FB	NKN	NKN180419		Kalepolepo North	2018-04-19	10:00	2	2	2	2	2	4	7	1	Trades	NKN180419	25.6	30.1	6.84	99.1	8.16	10.20	11.7	11.80	11.23	0.080		1	3		0	7	0	
yes	yes	no	no	13	North Kihei	NMS	RR	KT	FB	NHP	NHP180503		Haycraft Park	2018-05-03	8:20	1	1	1	1	1	18	6	0	Trades	NHP180503	25.7	34.4	6.78	100.6	8.14	7.79	7.93	7.47	7.73	0.031		1	1		3	3	0	HQ40d #1 turned off by itself twice during sampling - loose batteries?
yes	yes	no	no	13	North Kihei	NMS	RR	KT	FB	NKP	NKP180503		Kealia Pond	2018-05-03	8:55	1	1	1	1	1	18	6	0	Trades	NKP180503	25.6	35.6	6.69	99.6	8.18	1.08	1.15	1.41	1.21	0.143		1	3		0	2	0	
yes	yes	no	no	13	North Kihei	NMS	RR	KT	FB	NSB	NSB180503		Sugar Beach	2018-05-03	9:20	1	1	1	1	1	18	6	0	Trades	NSB180503	25.8	35.0	6.67	99.5	8.16	4.42	4.48	4.28	4.39	0.023		1	1		3	3	0	
yes	yes	no	no	13	North Kihei	NMS	RR	KT	FB	NKC	NKC180503		Kihei Canoe Club	2018-05-03	9:33	1	1	1	1	1	18	6	0	Trades	NKC180503	25.9	34.3	6.67	99.2	8.15	1.36	2.16	1.91	1.81	0.226		2	1		5	3	1	
yes	yes	no	no	13	North Kihei	NMS	RR	KT	FB	NMP	NMP180503		Mai Poina Oe Iau	2018-05-03	9:55	1	1	1	1	1	18	6	0	Trades	NMP180503	26.2	32.3	6.72	99.3	8.11	5.48	6.65	5.87	6.00	0.099		2	2		0	1	0	
yes	yes	no	no	13	North Kihei	NMS	RR	KT	FB	NKN	NKN180503		Kalepolepo North	2018-05-03	10:15	1	1	1	1	1	18	6	0	Trades	NKN180503	26.6	29.9	6.74	99.3	8.18	3.35	3.44	3.43	3.41	0.014		1	3		0	2	0	
yes	yes	no	no	14	North Kihei	NMS	RR	KT		NHP	NHP180517		Haycraft Park	2018-05-17	8:15	2	2	2	2	2	4	7	0	Trades	NHP180517	25.5	34.1	6.69	98.7	8.13	4.92	5.66	5.07	5.22	0.075		1	1		0	6	0	
yes	yes	no	no	14	North Kihei	NMS	RR	KT		NKP	NKP180517		Kealia Pond	2018-05-17	8:45	2	2	2	2	2	4	7	0	Trades	NKP180517	25.7	35.2	6.74	100.0	8.2	2.16	2.05	1.69	1.97	0.125		1	2		0	6	0	
yes	yes	no	no	14	North Kihei	NMS	RR	KT		NSB	NSB180517		Sugar Beach	2018-05-17	9:03	2	2	2	2	2	4	7	0	Trades	NSB180517	26.1	34.7	6.75	101.1	8.17	2.97	4.88	4.13	3.99	0.241		1	1		0	9	0	
yes	yes	no	no	14	North Kihei	NMS	RR	KT		NKC	NKC180517		Kihei Canoe Club	2018-05-17	9:20	2	2	2	2	2	4	7	0	Trades	NKC180517	26.4	34.0	6.71	100.8	8.13	2.67	4.02	3.17	3.29	0.208		1	0		0	5	0	
yes	yes	no	no	14	North Kihei	NMS	RR	KT		NMP	NMP180517		Mai Poina Oe Iau	2018-05-17	9:35	2	2	2	2	2	4	7	0	Trades	NMP180517	26.7	32.0	6.71	100.2	8.1	3.92	4.78	5.00	4.57	0.125		1	0		2	8	0	
yes	yes	no	no	14	North Kihei	NMS	RR	KT		NKN	NKN180517		Kalepolepo North	2018-05-17	9:56	2	2	2	2	2	4	7	0	Trades	NKN180517	26.6	29.5	6.73	98.7	8.2	4.05	4.17	4.34	4.19	0.035		1	0		0	1	0	
yes	yes	no	no	15	North Kihei	NMS	RR	SS	FB	NHP	NHP180531		Haycraft Park	2018-05-31	8:20	1	1	1	1	1	17	1	0	Trades	NHP180531	25.1	35.2	6.73	99.3	8.15	4.91	5.55	5.51	5.32	0.067		3	3		0	3	0	Took field duplicates (Turb, Sal, DO, pH and Temp)
yes	yes	no	no	15	North Kihei	NMS	RR	SS	FB	NKP	NKP180531		Kealia Pond	2018-05-31	8:45	1	1	1	1	1	17	1	0	Trades	NKP180531	25.2	35.7	6.71	99.4	8.15	7.77	6.96	8.12	7.62	0.078		3	3		0	4	0	Took field duplicates (Turb, Sal, DO, pH and Temp)
yes	yes	no	no	15	North Kihei	NMS	RR	SS	FB	NSB	NSB180531		Sugar Beach	2018-05-31	9:08	1	1	1	1	1	17	1	0	Trades	NSB180531	26.3	35.7	6.56	99.0	8.14	4.74	5.75	4.82	5.10	0.110		2	3		2	3	0	Took field duplicates (Turb, Sal, DO, pH and Temp)
yes	yes	no	no	15	North Kihei	NMS	RR	SS	FB	NKC	NKC180531		Kihei Canoe Club	2018-05-31	9:30	1	1	1	1	1	17	1	0	Trades	NKC180531	26.2	35.0	6.55	98.4	8.11	6.25	7.94	8.22	7.47	0.143		3	0		0	0	0	
yes	yes	no	no	15	North Kihei	NMS	RR	SS	FB	NMP	NMP180531		Mai Poina Oe Iau	2018-05-31	9:51	1	1	1	1	1	17	1	0	Trades	NMP180531	26.2	35.1	6.69	100.7	8.14	4.33	4.97	4.12	4.47	0.099		2	1		0	2	0	
yes	yes	no	no	15	North Kihei	NMS	RR	SS	FB	NKN	NKN180531		Kalepolepo North	2018-05-31	10:05	1	1	1	1	1	17	1	0	Trades	NKN180531	26.4	32.8	6.69	99.8	8.15	13.50	14	11.90	13.13	0.084		3	0		0	0	0	
	yes	no	no	16	North Kihei	NMS	KT	FB		NHP	NHP180621		Haycraft Park	2018-06-21	8:12	2	2	2	2	2	8	0	0	Trades	NHP180621	26.3	34.7	6.72	101.2	8.15	2.69	2.54	2.23	2.49	0.094		1	0		0	1	0	
	yes	no	no	16	North Kihei	NMS	KT	FB		NKP	NKP180621		Kealia Pond	2018-06-21	8:38	2	2	2	2	2	8	0	0	Trades	NKP180621	25.9	35.2	6.72	100.6	8.18	1.16	1.26	1.07	1.16	0.082		1	0		0	2	0	
	yes	no	no	16	North Kihei	NMS	KT	FB		NSB	NSB180621		Sugar Beach	2018-06-21	9:00	2	2	2	2	2	8	0	0	Trades	NSB180621	26.9	35.1	6.66	101.5	8.18	4.30	5.05	4.42	4.59	0.088		0	0		1	7	0	
	yes	no	no	16	North Kihei	NMS	KT	FB		NKC	NKC180621		Kihei Canoe Club	2018-06-21	9:17	2	2	2	2	2	8	0	0	Trades	NKC180621	26.6	34.7	6.66	100.8	8.16	4.58	4.92	4.75	4.75	0.036		0	0		0	0	0	
	yes	no	no	16	North Kihei	NMS	KT	FB		NMP	NMP180621		Mai Poina Oe Iau	2018-06-21	9:32	2	2	2	2	2	8	0	0	Trades	NMP180621	27.2	33.5	6.55	99.4	8.14	2.25	2.01	1.94	2.07	0.079		0	0		3	2	0	
	yes	no	no	17	North Kihei	NMS	SS	FB	RR	NHP	NHP180712		Haycraft Park	2018-07-12	8:15	1	1	1	1	1	29	1	0	Trades	NHP180712	25.9	34.3	6.66	99.3	8.13	5.54	5.06	5.18	5.26	0.047		1	3		2	1	20+	6 tents - appears to be a homeless encampment
	yes	no	no	17	North Kihei	NMS	SS	FB	RR	NKP	NKP180712		Kealia Pond	2018-07-12	8:40	1	1	1	1	1	29	1	0	Trades	NKP180712	25.8	35.4	6.52	97.4	8.2	1.23	1.25	1.31	1.26	0.033		1	4		0	0	0	
	yes	no	no	17	North Kihei	NMS	SS	FB	RR	NSB	NSB180712		Sugar Beach	2018-07-12	8:55	1	1	1	1	1	29	1	0	Trades	NSB180712	26.4	35.1	6.52	98.4	8.19	4.97	4.04	4.70	4.57	0.105		2	3		1	4	0	
	yes	no	no	17	North Kihei	NMS	SS	FB	RR	NKC	NKC180712		Kihei Canoe Club	2018-07-12	9:15	1	1	1	1	1	29	1	0	Trades	NKC180712	26.8	34.3	6.47	98.0	8.11	5.23	5.94	4.85	5.34	0.104		1	2		1	3	0	
	yes	no	no	17	North Kihei	NMS	SS	FB	RR	NMP	NMP180712		Mai Poina Oe Iau	2018-07-12	9:30	1	1	1	1	1	29	1	0	Trades	NMP180712	26.8	32.1	6.65	99.6	8.13	2.03	2.8	2.64	2.49	0.163		1	4		1	2	0	
	yes	no	no	18	North Kihei	NMS	SS	FB	LC	NHP	NHP180802		Haycraft Park	2018-08-02	8:15	2	2	2	2	2	21	1	0	Trades	NHP180802	26.2	34.7	6.47	97.2	8.13	3.62	3.47	3.56	3.55	0.021		2	3		3	2	0	
	yes	no	no	18	North Kihei	NMS	SS	FB	LC	NKP	NKP180802		Kealia Pond	2018-08-02	8:45	2	2	2	2	2	21	1	0	Trades	NKP180802	26.7	35.6	6.54	99.6	8.2	1.20	1.22	1.27	1.23	0.029		2	5		0	2	0	
	yes	no	no	18	North Kihei	NMS	SS	FB	LC	NSB	NSB180802		Sugar Beach	2018-08-02	9:05	2	2	2	2	2	21	1	0	Trades	NSB180802	27.4	35.4	6.48	99.6	8.18	3.52	3.88	3.40	3.60	0.069		1	2		0	6	0	
	yes	no	no	18	North Kihei	NMS	SS	FB	LC	NKC	NKC180802		Kihei Canoe Club	2018-08-02	9:20	2	2	2	2	2	21	1	0	Trades	NKC180802	27.5	35.1	6.45	99.2	8.18	3.45	3.57	3.97	3.66	0.074		2	3		0	20	0	
	yes	no	no	18	North Kihei	NMS	SS	FB	LC	NMP	NMP180802		Mai Poina Oe Iau	2018-08-02	9:39	2	2	2	2	2	21	1	0	Trades	NMP180802	27.4	33.2	6.42	97.6	8.13	1.96	2.22	2.21	2.13	0.069		1	2		0	1	0	
