,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,10/25/23,SM104,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
NKN231017-N-1,1,126.50,9.81,6.62,389.42,21.47,4.20,,,,,
KWP231017-N-1,2,96.88,10.22,6.89,267.23,7.51,5.24,,,,,
KKS231017-N-1,3,109.28,8.65,7.11,589.57,24.86,3.34,,,,,
KKP231017-N-1,4,131.77,8.47,5.84,313.85,50.96,3.90,,,,,
KCP231018-N-1,5,178.93,15.60,13.44,467.48,92.42,9.37,,,,,
MMB231018-N-1,6,94.03,8.88,5.18,172.99,9.70,3.27,,,,,
MAN231018-N-1,7,80.39,6.60,5.53,395.11,2.86,5.52,,,,,
MAS231018-N-1,8,81.11,6.92,3.91,111.79,6.35,4.03,,,,,
NMH231019-N-1,9,110.69,8.18,4.88,269.71,35.54,7.25,,,,,
NMC231019-N-1,10,131.77,7.78,4.65,281.37,45.96,8.20,,,,,
NHP231019-N-1,11,141.62,8.19,4.59,304.62,46.13,5.91,,,,,
NKP231019-N-1,12,90.38,6.41,3.03,58.09,5.85,3.03,,,,,
NKC231019-N-1,13,131.41,8.06,4.96,274.62,37.74,3.04,,,,,
,,,,,,,,,,,,
