,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,3/4/20,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
NKN200225-N-1,1,169.97,11.32,8.15,857.36,75.13,3.32,,,
KWP200225-N-1,2,111.38,14.89,13.18,1128.20,16.34,2.90,,,
KKS200225-N-1,3,132.21,10.62,8.21,823.78,37.67,3.01,,,
KKP200225-N-1,4,149.34,10.56,7.81,366.48,63.73,2.59,,,
KCP200225-N-1,5,728.26,38.86,36.76,3064.55,645.36,19.83,,,
NMP200225-N-1,6,262.21,9.58,8.03,1283.60,178.53,5.10,,,
MML200226-N-1,7,97.54,9.07,6.06,171.41,10.92,1.71,,,
MMB200226-N-1,8,96.01,10.00,6.01,140.71,12.56,1.67,,,
MON200226-N-1,9,95.00,8.05,4.36,91.62,7.28,2.11,,,
MAN200226-N-1,10,119.22,14.19,12.96,818.57,36.42,4.65,,,
MAS200226-N-1,11,105.03,9.09,6.41,319.28,11.25,2.44,,,
NMH200227-N-1,12,188.26,16.53,10.50,620.14,96.64,7.91,,,
NMC200227-N-1,13,227.24,8.83,5.40,610.83,142.13,4.40,,,
NHP200227-N-1,14,172.89,10.45,6.13,488.13,94.12,3.45,,,
NKP200227-N-1,15,88.47,9.54,5.21,53.57,5.71,2.01,,,
NSB200227-N-1,16,111.21,9.33,6.03,237.34,22.85,3.28,,,
NKC200227-N-1,17,297.09,10.77,6.98,449.69,227.84,0.96,,,
WKD200228-N-1,18,84.39,10.34,6.06,142.36,12.96,1.33,,,
WKB200228-N-1,19,92.72,9.82,5.44,118.54,10.33,2.43,,,
WUL200228-N-1,20,203.41,9.26,6.21,277.85,125.66,2.60,,,
WPL200228-N-1,21,116.20,9.22,5.17,131.78,27.71,3.74,,,
WPO200228-N-1,22,113.32,9.57,5.90,175.26,27.80,1.21,,,
