,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,10/26/22,SM87,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
NKN221004-N-1,1,346.61,15.26,7.09,3862.71,231.77,3.51,,,
KWP221004-N-1,2,254.18,19.46,11.63,2400.15,131.70,3.48,,,
KKS221004-N-1,3,166.53,12.86,9.96,996.44,42.51,2.11,,,
KKP221004-N-1,4,151.66,11.54,8.15,550.12,32.97,2.50,,,
KCP221005-N-1,5,893.75,37.80,36.36,3660.34,699.49,11.29,,,
MMB221005-N-1,6,175.02,10.20,5.29,269.58,61.26,1.88,,,
MAN221005-N-1,7,121.54,8.98,4.66,223.79,5.88,3.51,,,
MAS221005-N-1,8,117.38,9.90,7.58,237.12,14.22,5.69,,,
NMH221006-N-1,9,138.81,12.03,7.90,404.34,39.53,8.00,,,
NMC221006-N-1,10,225.37,8.94,6.47,612.52,101.36,5.26,,,
NHP221006-N-1,11,185.28,7.82,4.30,335.75,40.18,6.36,,,
NKP221006-N-1,12,105.34,8.00,3.49,56.53,1.95,2.85,,,
NKC221006-N-1,13,209.51,9.83,6.36,401.21,103.16,1.80,,,
,,,,,,,,,,
