,,Data Provided by:,,,,,,,
,,SOEST Laboratory for ,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,
,,University of Hawaii at Manoa ,,,,,,,
,,1000 Pope Rd,,,,,,,
,,"Honolulu, HI 96822",,,,,,,
,,808-956-5878,,,,,,,
,,,,,,,,,
,,Date Samples Received:,,8/2/19,,,,,
,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
NKN190723-N-1,1,187.90,9.07,8.25,999.67,95.59,4.66,,
KWP190723-N-1,2,163.89,12.27,10.34,876.24,17.89,21.95,,
KKS190723-N-1,3,82.04,8.09,6.20,734.32,22.88,1.31,,
KKP190723-N-1,4,165.89,8.72,5.14,381.80,63.79,1.64,,
KCP190723-N-1,5,697.25,26.40,25.52,2250.50,478.47,142.88,,
MML190724-N-1,6,129.70,9.26,5.82,277.92,22.39,3.82,,
MMB190724-N-1,7,180.34,9.15,6.41,311.98,65.55,3.49,,
MON190724-N-1,8,110.43,7.01,4.32,185.00,7.42,2.27,,
MAN190724-N-1,9,109.76,6.92,3.19,110.29,4.24,1.20,,
MAS190724-N-1,10,108.24,6.83,3.29,53.58,4.80,2.14,,
NHP190725-N-1,11,132.22,7.93,4.76,252.76,24.70,2.81,,
NKP190725-N-1,12,103.18,7.76,3.34,60.99,1.88,0.82,,
NSB190725-N-1,13,126.19,8.38,4.81,215.60,15.35,0.71,,
NKC190725-N-1,14,176.20,8.68,5.59,381.44,90.16,3.00,,
NMP190725-N-1,15,271.24,10.62,9.92,1582.21,181.87,1.17,,
WKD190726-N-1,16,135.10,8.96,5.01,248.57,32.51,0.28,,
WKB190726-N-1,17,107.29,7.15,3.46,106.54,4.31,2.46,,
WUL190726-N-1,18,186.30,9.78,5.37,216.19,57.74,2.26,,
WPL190726-N-1,19,141.67,10.83,7.13,189.14,27.62,3.04,,
WPO190726-N-1,20,116.70,7.76,5.07,155.33,18.13,<0.28,,
