,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,5/19/20,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
NKN200505-N-1,1,291.20,13.98,9.92,1783.45,192.05,3.05,,,
KWP200505-N-1,2,117.30,12.37,8.79,1039.16,17.84,3.83,,,
KKS200505-N-1,3,268.31,27.98,18.07,3974.97,167.95,22.77,,,
KKP200505-N-1,4,132.70,10.34,5.74,430.01,50.46,3.78,,,
KCP200505-N-1,5,989.35,35.01,33.95,3835.57,540.18,13.84,,,
NMP200505-N-1,6,338.12,14.48,11.37,3273.20,247.76,3.32,,,
MML200506-N-1,7,163.26,10.46,5.80,434.02,55.03,3.33,,,
MMB200506-N-1,8,255.49,10.47,5.25,493.04,132.71,4.02,,,
MAN200506-N-1,9,106.20,10.94,6.51,423.74,13.29,2.09,,,
MAS200506-N-1,10,113.21,14.01,11.35,617.69,23.70,5.94,,,
NMH200507-N-1,11,150.59,11.72,7.84,584.39,66.49,7.03,,,
NMC200507-N-1,12,404.70,10.08,6.64,1174.44,288.09,5.24,,,
NHP200507-N-1,13,171.36,10.88,6.38,485.78,77.30,6.30,,,
NKP200507-N-1,14,96.76,9.94,4.65,132.66,5.18,4.59,,,
NSB200507-N-1,15,114.24,12.41,6.60,244.81,23.31,5.13,,,
NKC200507-N-1,16,370.93,13.20,8.93,690.80,261.58,1.95,,,
WKD200508-N-1,17,111.79,9.92,4.99,172.40,19.03,0.67,,,
WKB200508-N-1,18,108.08,9.88,4.66,152.35,18.31,8.30,,,
WUL200508-N-1,19,264.34,9.86,5.49,308.03,161.49,3.77,,,
WPL200508-N-1,20,159.72,11.55,4.77,242.80,73.77,4.80,,,
WPO200508-N-1,21,208.10,9.95,5.39,391.79,106.60,4.11,,,
