,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,2/23/23,SM93,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
NKN230214-N-1,1,199.88,17.05,14.56,1509.94,133.07,7.80,,,,,
KWP230214-N-1,2,146.25,15.52,10.76,889.63,73.55,6.27,,,,,
KKS230214-N-1,3,131.18,11.34,7.66,889.43,58.02,2.14,,,,,
KKP230214-N-1,4,152.12,13.59,8.27,553.74,63.86,4.01,,,,,
KCP230215-N-1,5,540.23,29.61,28.68,1737.09,402.55,8.89,,,,,
MMB230215-N-1,6,112.56,12.49,6.44,271.39,45.39,1.61,,,,,
MAN230215-N-1,7,79.39,12.19,8.80,607.88,7.89,3.09,,,,,
MAS230215-N-1,8,79.98,10.85,5.55,230.57,8.21,5.30,,,,,
NMH230216-N-1,9,116.18,12.53,7.33,332.76,52.14,2.98,,"* This sample was labeled ""NKC230216-N-1"" on the emailed session summary (there were 2 samples labeled ""NKC230216-N-1"")",,,
NMC230216-N-1,10,207.05,11.27,6.04,589.03,124.57,4.84,,,,,
NHP230216-N-1,11,180.60,12.67,6.29,518.32,128.37,2.46,,,,,
NKP230216-N-1,12,70.69,11.78,5.00,74.79,3.23,2.11,,,,,
NKC230216-N-1,13,185.74,16.10,10.01,525.55,125.66,8.63,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
