,,,Data Provided by:,,,,
,,,SOEST Laboratory for ,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,
,,,University of Hawaii at Manoa ,,,,
,,,1000 Pope Rd,,,,
,,,"Honolulu, HI 96822",,,,
,,,808-956-5878,,,,
,,,Date Samples Received:,,3/28/18,,
,,,,,,,
,,,Project:,MNMRC,Project: NFWF South Maui WQ Sampling,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
KWP180320-N-1,1 TNC SOUTH,138.80,14.21,10.82,751.43,55.64,3.23
KKS180320-N-1,2 TNC SOUTH,162.53,12.00,8.56,627.14,86.02,2.49
KKP180320-N-1,3 TNC SOUTH,108.88,8.90,8.15,351.16,26.71,4.52,
KCP180320-N-1,4 TNC SOUTH,434.13,27.80,26.63,1355.10,424.19,9.26,
KKO180320-N-1,5 TNC SOUTH,117.39,9.61,6.00,314.10,38.48,0.85,
KKT180320-N-1,6 TNC SOUTH,141.72,9.02,7.05,343.02,77.22,1.59,
MML180321-N-1,7 TNC SOUTH,124.09,11.03,7.23,235.21,28.84,2.78,
MMB180321-N-1,8 TNC SOUTH,71.45,7.87,4.83,80.08,7.27,0.52,
MON180321-N-1,9 TNC SOUTH,69.89,6.63,5.19,127.73,7.88,2.01,
MBS180321-N-1,10 TNC SOUTH,70.67,9.68,5.12,45.32,2.74,1.87,
MAN180321-N-1,11 TNC SOUTH,91.51,9.19,7.15,248.23,12.27,3.13,
MAS180321-N-1,12 TNC SOUTH,111.70,14.28,13.94,898.10,44.11,3.02,
NHP180322-N-1,13 TNC SOUTH,171.57,20.87,8.01,406.87,106.49,1.48,
NKP180322-N-1,14 TNC SOUTH,93.90,9.72,7.26,83.06,4.61,1.83,
NSB180322-N-1,15 TNC SOUTH,88.35,10.49,7.01,176.60,15.45,2.25,
NKC180322-N-1,16 TNC SOUTH,228.08,14.19,7.36,290.94,150.95,5.45,
NMP180322-N-1,17 TNC SOUTH,335.84,13.64,11.85,1565.70,318.71,1.49,
NKN180322-N-1,18 TNC SOUTH,294.43,15.43,14.31,1752.77,270.08,2.57,
WKD180323-N-1,19 TNC SOUTH,100.80,7.98,7.08,203.54,33.61,2.49
WKB180323-N-1,20 TNC SOUTH,78.02,7.53,4.14,76.69,9.46,3.40
WUL180323-N-1,21 TNC SOUTH,168.27,10.16,8.07,259.90,112.75,2.58
WWA180323-N-1,22 TNC SOUTH,103.80,9.62,7.38,188.70,30.35,1.95
WPL180323-N-1,23 TNC SOUTH,113.78,7.45,6.41,162.00,56.14,2.03
WPO180323-N-1,24 TNC SOUTH,100.01,6.43,6.39,143.06,34.31,<0.28
