,,Data Provided by:,,,,,,,
,,SOEST Laboratory for ,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,
,,University of Hawaii at Manoa ,,,,,,,
,,1000 Pope Rd,,,,,,,
,,"Honolulu, HI 96822",,,,,,,
,,808-956-5878,,,,,,,
,,,,,,,,,
,,Date Samples Received:,,6/19/19,,,,,
,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
NKN190611-N-1,1,258.72,13.99,10.55,1268.28,151.90,2.97,,
KWP190611-N-1,2,149.19,10.07,9.01,1295.77,39.48,6.22,,
KKS190611-N-1,3,175.02,8.55,8.00,1329.66,86.91,1.56,,
KKP190611-N-1,4,167.88,9.17,6.27,466.27,67.63,3.35,,
KCP190611-N-1,5,1113.37,35.60,33.41,3980.26,892.00,11.05,,
MML190612-N-1,6,139.40,10.79,5.69,452.54,58.76,2.77,,
MMB190612-N-1,7,270.84,10.33,6.42,559.93,171.91,0.77,,
MON190612-N-1,8,117.60,9.24,5.97,616.61,38.54,1.44,,
MAN190612-N-1,9,112.15,10.05,5.32,390.23,6.57,1.99,,
MAS190612-N-1,10,105.11,13.60,6.81,142.08,9.46,9.71,,
NHP190613-N-1,11,186.59,12.41,6.92,525.19,77.54,4.43,,
NKP190613-N-1,12,105.99,10.57,5.31,57.82,4.43,2.16,,
NSB190613-N-1,13,130.03,11.15,4.95,215.12,16.71,2.53,,
NKC190613-N-1,14,296.08,10.29,5.16,550.86,198.45,3.84,,
NMP190613-N-1,15,309.66,14.08,13.33,3695.58,235.48,2.19,,
WKD190614-N-1,16,105.17,9.08,4.63,195.97,20.07,0.83,,
WKB190614-N-1,17,102.31,8.99,4.13,126.92,8.51,2.32,,
WUL190614-N-1,18,195.81,10.92,5.33,317.83,98.61,2.26,,
WPL190614-N-1,19,149.89,8.85,4.42,352.96,71.42,1.61,,
WPO190614-N-1,20,127.08,10.74,4.53,161.65,33.04,0.66,,
