,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,2/14/20,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
NKN200204-N-1,1,190.47,11.25,9.10,1003.86,103.04,3.68,,,
KWP200204-N-1,2,126.89,12.85,11.05,814.77,31.62,4.58,,,
KKS200204-N-1,3,102.46,6.97,5.48,261.14,15.93,3.32,,,
KKP200204-N-1,4,125.35,10.13,7.99,218.54,17.39,3.17,,,
KCP200204-N-1,5,334.78,17.48,13.76,789.32,225.10,31.70,,,
NMP200204-N-1,6,291.39,10.97,9.25,1420.20,206.04,3.29,,,
MML200205-N-1,7,133.90,10.04,8.26,452.37,48.89,1.79,,,
MMB200205-N-1,8,152.35,9.65,8.21,571.46,70.22,0.35,,,
MON200205-N-1,9,104.44,8.78,7.16,335.21,14.91,1.54,,,
MAN200205-N-1,10,99.13,10.82,9.18,621.62,13.94,2.83,,,
MAS200205-N-1,11,188.55,12.94,9.28,364.60,18.30,9.60,,,
NMH200206-N-1,12,152.46,11.79,8.29,340.94,55.31,5.39,,,
NMC200206-N-1,13,253.36,8.12,5.69,610.15,158.01,6.09,,,
NHP200206-N-1,14,226.63,9.95,7.90,499.79,126.07,3.34,,,
NKP200206-N-1,15,90.18,8.82,4.69,85.77,6.65,4.03,,,
NSB200206-N-1,16,117.26,10.32,7.14,324.33,29.73,7.36,,,
NKC200206-N-1,17,467.63,12.08,8.97,578.98,374.20,2.57,,,
WKD200207-N-1,18,94.69,9.08,5.67,95.86,12.15,1.68,,,
WKB200207-N-1,19,93.95,9.03,4.95,91.15,8.06,2.66,,,
WUL200207-N-1,20,145.26,8.89,6.29,251.28,61.09,1.68,,,
WPL200207-N-1,21,108.44,8.12,4.68,160.86,25.94,1.40,,,
WPO200207-N-1,22,106.11,8.87,5.65,235.35,25.96,1.20,,,
