,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,7/19/22,SM83,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
NKN220712-N-1,1,230.55,13.30,12.09,2106.10,142.93,7.85,,,
KWP220712-N-1,2,82.80,9.91,8.71,725.70,12.77,4.91,,,
KKS220712-N-1,3,254.55,13.76,11.97,2338.56,190.26,4.56,,,
KKP220712-N-1,4,152.91,8.62,7.26,389.75,74.79,9.82,,,
KCP220713-N-1,5,585.40,24.76,20.33,1859.68,390.76,27.68,,,
MMB220713-N-1,6,156.52,10.32,6.06,404.87,72.95,3.36,,,
MAN220713-N-1,7,81.30,8.50,5.50,232.88,5.61,3.03,,,
MAS220713-N-1,8,79.39,10.72,7.36,325.51,12.15,4.40,,,
NMH220714-N-1,9,152.14,17.15,12.68,517.39,59.65,9.21,,,
NMC220714-N-1,10,228.73,11.88,7.87,1068.55,130.12,8.54,,,
NHP220714-N-1,11,130.09,9.87,6.14,342.75,60.53,6.67,,,
NKP220714-N-1,12,68.75,7.96,4.51,79.63,2.79,2.79,,,
NKC220714-N-1,13,204.16,11.27,9.41,997.98,128.57,6.78,,,
,,,,,,,,,,
