,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,10/22/20,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
NKN201013-N-1,1,190.47,8.48,6.62,972.82,103.32,4.24,,,
KWP201013-N-1,2,112.61,12.80,11.69,1112.05,38.56,3.52,,,
KKS201013-N-1,3,141.00,7.38,5.31,569.66,48.73,7.06,,,
KKS201013-N-2,3,143.61,7.45,5.06,570.35,48.85,7.15,,,
KKS201013-N-3,3,142.92,7.35,5.05,569.93,48.89,7.30,,,
KKP201013-N-1,4,126.98,7.78,5.97,449.35,51.40,4.36,,,
KCP201013-N-1,5,590.93,28.33,25.84,2697.28,520.10,3.99,,,
KCP201013-N-2,5,613.56,27.33,25.74,2652.33,514.97,3.93,,,
KCP201013-N-3,5,604.82,26.83,25.74,2602.53,511.27,4.05,,,
WKD201014-N-1,6,135.61,9.09,5.24,220.21,33.63,5.04,,,
WKB201014-N-1,7,95.97,7.44,3.86,117.07,11.50,3.19,,,
WUL201014-N-1,8,146.77,8.59,4.77,223.38,91.44,3.44,,,
MMB201014-N-1,9,154.49,8.69,4.25,361.32,111.19,6.36,,,
MAN201014-N-1,10,87.81,10.20,6.30,356.31,10.60,5.54,,,
MAS201014-N-1,11,82.20,10.81,7.58,457.34,15.60,5.21,,,
NMH201015-N-1,12,119.36,12.94,7.83,482.09,57.92,7.98,,,
NMC201015-N-1,13,245.91,12.96,9.09,818.62,207.72,5.56,,,
NHP201015-N-1,14,105.43,11.13,5.40,328.04,38.84,3.43,,,
NKP201015-N-1,15,68.84,8.16,3.45,114.62,3.92,1.28,,,
NKP201015-N-2,15,68.69,8.06,3.38,112.88,3.82,1.35,,,
NKP201015-N-3,15,71.59,8.59,3.38,113.34,3.81,1.29,,,
NKC201015-N-1,16,221.22,11.50,6.70,565.16,176.45,1.00,,,
