,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,3/5/19,,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
NKN190226-N-1,1,135.69,9.94,6.73,684.91,51.01,2.57,,,,,
KWP190226-N-1,2,120.52,9.53,7.99,857.09,40.53,5.22,,,,,
KKS190226-N-1,3,110.65,6.66,5.18,577.07,35.39,4.73,,,,,
KKP190226-N-1,4,83.99,7.93,5.31,256.95,14.02,4.25,,,,,
KCP190226-N-1,5,1187.17,26.55,21.65,1779.46,749.38,15.63,,,,,
MML190227-N-1,6,102.25,8.57,5.00,319.08,30.33,10.39,,,,,
MMB190227-N-1,7,102.13,9.84,6.15,262.72,23.62,0.98,,,,,
MON190227-N-1,8,83.59,8.76,4.58,215.65,10.63,2.12,,,,,
MAN190227-N-1,9,89.47,9.21,6.32,284.19,7.26,3.49,,,,,
MAS190227-N-1,10,88.45,10.74,8.39,582.25,18.03,1.62,,,,,
NHP190228-N-1,11,221.53,7.90,6.04,672.93,142.62,3.33,,,,,
NKP190228-N-1,12,78.64,9.06,4.66,57.73,2.85,1.36,,,,,
NSB190228-N-1,13,67.94,7.30,4.64,138.06,10.19,2.47,,,,,
NKC190228-N-1,14,269.09,7.80,5.09,389.98,209.87,0.89,,,,,
NMP190228-N-1,15,239.00,10.00,8.73,1261.69,158.15,2.58,,,,,
WKD190301-N-1,16,66.07,9.18,5.60,160.16,11.68,0.59,,,,,
WKB190301-N-1,17,55.05,5.95,3.79,156.18,4.54,2.45,,,,,
WUL190301-N-1,18,199.08,7.35,5.62,334.50,129.56,1.97,,,,,
WPL190301-N-1,19,91.91,8.21,5.40,192.09,25.03,1.95,,,,,
WPO190301-N-1,20,98.14,8.37,5.70,212.65,37.37,0.75,,,,,
