,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,9/6/23,SM102,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
NKN230829-N-1,1,199.99,11.40,10.76,881.84,82.72,6.54,,,,,
KWP230829-N-1,2,173.82,10.67,9.69,632.40,9.51,10.37,,,,,
KKS230829-N-1,3,176.99,11.61,10.28,782.68,47.42,4.78,,,,,
KKP230829-N-1,4,156.93,10.82,8.11,346.60,28.42,6.63,,,,,
KCP230830-N-1,5,568.10,24.30,20.94,1994.12,420.18,13.65,,,,,
MMB230830-N-1,6,191.22,6.90,5.31,516.83,86.94,7.68,,,,,
MAN230830-N-1,7,162.46,8.69,6.92,547.10,12.29,7.98,,,,,
MAS230830-N-1,8,117.62,10.17,10.15,717.27,26.18,6.72,,,,,
NMH230831-N-1,9,189.84,10.48,9.24,554.58,59.51,11.66,,,,,
NMC230831-N-1,10,260.03,8.01,6.92,797.97,134.49,11.40,,,,,
NHP230831-N-1,11,123.10,6.62,4.85,235.37,19.57,5.89,,,,,
NKP230831-N-1,12,102.34,6.71,4.27,115.78,1.37,5.99,,,,,
NKC230831-N-1,13,237.88,10.49,9.00,544.28,137.80,6.81,,,,,
,,,,,,,,,,,,
