,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,11/23/22,SM89,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
NKN221115-N-1,1,177.31,11.13,6.71,916.37,83.08,2.27,,,
KWP221115-N-1,2,157.31,12.17,7.98,950.90,72.94,2.48,,,
KKS221115-N-1,3,134.73,8.62,5.97,687.95,51.66,1.88,,,
KKP221115-N-1,4,164.28,10.67,6.79,372.30,86.31,2.97,,,
KCP221116-N-1,5,411.34,20.95,17.74,1436.61,257.44,15.23,,,
MMB221116-N-1,6,100.31,7.05,3.27,171.46,26.20,1.03,,,
MAN221116-N-1,7,85.54,7.54,4.32,181.72,5.36,2.58,,,
MAS221116-N-1,8,88.40,8.69,4.69,156.85,10.73,2.33,,,
NMH221117-N-1,9,129.33,9.67,6.79,467.48,51.23,8.36,,,
NMC221117-N-1,10,213.68,8.91,5.01,501.30,115.32,5.59,,,
NHP221117-N-1,11,117.73,8.86,3.95,338.20,37.11,3.26,,,
NKP221117-N-1,12,74.58,7.87,3.35,52.04,2.44,0.87,,,
NKC221117-N-1,13,137.30,8.81,3.60,330.29,61.99,0.45,,,
,,,,,,,,,,
