,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,9/1/22,SM85,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
NKN220823-N-1,1,222.92,14.60,12.57,1274.24,123.50,3.52,,,
KWP220823-N-1,2,96.99,10.79,9.96,680.58,11.57,4.81,,,
KKS220823-N-1,3,162.63,10.34,9.02,896.81,73.92,3.67,,,
KKP220823-N-1,4,120.84,9.98,6.71,193.03,24.10,6.24,,,
KCP220824-N-1,5,406.12,17.51,16.79,1653.28,292.58,16.55,,,
MMB220824-N-1,6,224.99,11.68,8.55,577.41,138.77,3.51,,,
MAN220824-N-1,7,99.35,9.12,6.23,562.18,7.02,2.96,,,
MAS220824-N-1,8,95.33,9.69,7.79,247.22,14.30,5.25,,,
NMH220825-N-1,9,130.66,11.59,8.06,424.48,42.91,9.81,,,
NMC220825-N-1,10,221.96,10.50,8.18,707.82,137.28,7.43,,,
NHP220825-N-1,11,150.62,11.69,5.93,392.41,58.12,2.82,,,
NKP220825-N-1,12,85.80,10.59,5.43,78.33,2.91,0.69,,,
NKC220825-N-1,13,214.14,12.84,8.69,530.72,131.86,1.17,,,
,,,,,,,,,,
