,,,Data Provided by:,,,,
,,,SOEST Laboratory for ,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,
,,,University of Hawaii at Manoa ,,,,
,,,1000 Pope Rd,,,,
,,,"Honolulu, HI 96822",,,,
,,,808-956-5878,,,,
,,,Date Samples Received:,,10/10/18,,
,,,,,,,
,,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
NKN181002-N-1,1 TNC SOUTH,138.38,9.45,5.96,484.81,56.17,3.20
KWP181002-N-1,2 TNC SOUTH,125.65,11.97,10.63,735.79,33.02,4.27
KKS181002-N-1,3 TNC SOUTH,112.30,8.59,7.51,616.11,39.83,6.22,,
KKP181002-N-1,4 TNC SOUTH,233.02,10.82,7.78,535.29,137.78,3.44,,
KCP181002-N-1,5 TNC SOUTH,378.00,23.25,20.98,1016.06,278.60,11.93,,
MML181003-N-1,6 TNC SOUTH,128.12,10.47,7.77,339.33,31.49,6.79,,
MMB181003-N-1,7 TNC SOUTH,113.48,9.08,5.53,196.64,28.52,3.13,,
MON181003-N-1,8 TNC SOUTH,85.06,8.62,4.16,195.18,6.34,3.51,,
MAN181003-N-1,9 TNC SOUTH,78.28,7.69,4.34,166.90,2.80,4.06,,
MAS181003-N-1,10 TNC SOUTH,84.31,9.80,5.82,106.40,6.40,4.20,,
NHP181004-N-1,11 TNC SOUTH,121.70,8.22,5.12,218.30,27.13,4.38,,
NKP181004-N-1,12 TNC SOUTH,78.70,8.68,4.87,88.41,2.95,3.22,,
NMP181004-N-1,13 TNC SOUTH,105.27,8.89,6.17,351.00,30.92,2.69,,
WKD181005-N-1,14 TNC SOUTH,129.65,10.43,6.61,99.18,12.73,8.86,,
WKB181005-N-1,15 TNC SOUTH,98.07,10.42,6.37,97.23,10.94,2.50,,
WUL181005-N-1,16 TNC SOUTH,153.24,10.39,7.41,168.63,47.67,6.79,,
WPL181005-N-1,17 TNC SOUTH,180.21,10.69,7.83,240.19,68.15,7.17,,
WPO181005-N-1,18 TNC SOUTH,109.14,9.66,5.22,101.55,6.63,3.43,,
,
