,,,Data Provided by:,,,,,,
,,,SOEST Laboratory for ,,,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,,,
,,,University of Hawaii at Manoa ,,,,,,
,,,1000 Pope Rd,,,,,,
,,,"Honolulu, HI 96822",,,,,,
,,,808-956-5878,,,,,,
,,,,,,,,,
,,,Date Samples Received:,,10/30/18,,,,
,,,,,,,,,
,,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
NKN181023-N-1,1 TNC SOUTH,292.63,14.83,10.87,991.64,130.09,7.45,,
KWP181023-N-1,2 TNC SOUTH,168.25,13.91,11.42,448.22,16.42,8.47,,
KKS181023-N-1,3 TNC SOUTH,196.26,13.48,11.76,991.75,126.68,1.60,,
KKP181023-N-1,4 TNC SOUTH,99.82,9.71,6.32,199.76,21.35,1.76,,
KCP181023-N-1,5 TNC SOUTH,238.26,16.19,13.07,625.75,165.08,6.15,,
MML181024-N-1,6 TNC SOUTH,93.51,10.30,6.74,287.47,27.93,2.20,,
MMB181024-N-1,7 TNC SOUTH,88.08,60.12,9.23,272.23,19.93,0.57,,
MON181024-N-1,8 TNC SOUTH,99.96,9.57,7.70,634.53,34.29,4.88,,
MAN181024-N-1,9 TNC SOUTH,78.61,8.80,5.75,177.80,8.80,2.54,,
MAS181024-N-1,10 TNC SOUTH,99.62,11.55,9.76,467.34,28.19,2.28,,
NKP181025-N-1,12 TNC SOUTH,90.42,9.06,5.72,105.13,3.48,3.95,,
NSB181025-N-1,13 TNC SOUTH,110.44,10.95,7.37,243.63,26.18,3.56,,
NKC181025-N-1,14 TNC SOUTH,205.75,9.56,6.49,426.17,142.64,0.84,,
NMP181025-N-1,15 TNC SOUTH,97.57,7.56,5.15,292.31,25.35,2.75,,
WKD181026-N-1,16 TNC SOUTH,83.12,10.28,6.53,95.03,7.94,0.62,,
WKB181026-N-1,17 TNC SOUTH,71.78,9.85,4.75,62.90,2.66,0.97,,
WUL181026-N-1,18 TNC SOUTH,85.19,8.77,6.01,128.55,13.37,2.43,,
WPL181026-N-1,19 TNC SOUTH,86.18,9.77,6.68,131.97,13.04,0.82,,
WPO181026-N-1,20 TNC SOUTH,81.06,9.06,5.75,108.46,5.43,0.83,,
