,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,11/14/19,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
NKN191105-N-1,1,157.19,10.05,8.18,691.22,67.37,3.36,,,
KWP191105-N-1,2,129.20,15.96,14.50,631.24,16.56,7.26,,,
KKS191105-N-1,3,161.44,8.13,6.28,694.64,68.24,<0.28,,,
KKP191105-N-1,4,163.34,8.66,5.34,386.72,70.58,3.12,,,
KCP191105-N-1,5,587.76,27.70,21.48,2153.76,406.53,10.64,,,
NMP191105-N-1,6,202.32,9.73,7.28,844.86,102.40,3.13,,,
MML191106-N-1,7,131.84,9.28,5.01,225.69,29.50,4.16,,,
MMB191106-N-1,8,160.75,8.85,4.78,234.09,62.97,3.13,,,
MON191106-N-1,9,97.59,6.48,3.50,143.15,7.92,1.71,,,
MAN191106-N-1,10,109.18,6.93,4.74,385.67,6.33,4.99,,,
MAS191106-N-1,11,109.13,8.22,4.13,89.63,10.25,3.12,,,
NMH191107-N-1,12,197.10,11.36,8.63,498.00,77.56,9.78,,,
NMC191107-N-1,13,320.72,9.76,6.25,548.76,219.85,4.07,,,
NHP191107-N-1,14,177.12,9.94,5.84,362.02,72.60,4.17,,,
NKP191107-N-1,15,136.24,7.67,3.10,49.89,5.97,3.07,,,
NSB191107-N-1,16,122.44,7.78,4.20,183.00,28.34,4.02,,,
NKC191107-N-1,17,217.86,7.47,3.44,262.47,135.43,1.43,,,
WKD191108-N-1,18,117.78,7.53,4.32,152.26,20.97,3.09,,,
WKB191108-N-1,19,123.77,6.85,3.58,135.31,18.63,4.74,,,
WUL191108-N-1,20,191.93,7.92,4.72,184.89,92.21,3.08,,,
WPL191108-N-1,21,121.98,7.32,3.59,180.91,36.44,4.37,,,
WPO191108-N-1,22,110.12,6.42,2.73,103.36,24.42,2.77,,,
