,,,Data Provided by:,,,,,,
,,,SOEST Laboratory for ,,,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,,,
,,,University of Hawaii at Manoa ,,,,,,
,,,1000 Pope Rd,,,,,,
,,,"Honolulu, HI 96822",,,,,,
,,,808-956-5878,,,,,,
,,,,,,,,,
,,,Date Samples Received:,,11/20/18,,,,
,,,,,,,,,
,,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
NKN181113-N-1,1 TNC SOUTH,340.23,17.29,14.66,576.15,54.57,12.43,,
KWP181113-N-1,2 TNC SOUTH,151.33,18.84,16.28,913.66,51.91,4.54,,
KKS181113-N-1,3 TNC SOUTH,112.51,13.17,12.58,513.88,20.54,4.48,,
KKP181113-N-1,4 TNC SOUTH,173.17,12.97,12.31,374.42,74.52,8.43,,
KCP181113-N-1,5 TNC SOUTH,322.39,21.41,20.31,793.37,228.75,16.95,,
MML181114-N-1,6 TNC SOUTH,106.26,10.51,10.13,186.45,13.71,5.68,,
MMB181114-N-1,7 TNC SOUTH,107.26,9.89,8.47,98.13,11.69,4.44,,
MON181114-N-1,8 TNC SOUTH,91.68,8.46,7.97,105.90,6.15,5.28,,
MAN181114-N-1,9 TNC SOUTH,87.11,10.70,9.83,95.22,9.15,8.87,,
MAS181114-N-1,10 TNC SOUTH,90.84,8.55,8.31,183.19,4.29,6.16,,
NHP181115-N-1,11 TNC SOUTH,179.37,10.57,9.92,460.38,87.50,4.90,,
NKP181115-N-1,12 TNC SOUTH,99.51,8.45,7.82,111.72,10.61,4.10,,
NSB181115-N-1,13 TNC SOUTH,115.16,9.19,8.70,231.02,26.64,2.85,,
NKC181115-N-1,14 TNC SOUTH,213.11,10.15,9.24,383.14,130.41,3.43,,
NMP181115-N-1,15 TNC SOUTH,188.38,14.04,12.24,710.63,96.96,4.91,,
WKD181116-N-1,16 TNC SOUTH,126.76,12.71,12.37,211.29,27.81,4.23,,
WKB181116-N-1,17 TNC SOUTH,162.05,12.86,12.38,288.84,40.28,7.60,,
WUL181116-N-1,18 TNC SOUTH,173.78,12.89,12.28,258.38,95.94,3.73,,
WPL181116-N-1,19 TNC SOUTH,181.44,11.82,11.10,161.60,41.61,10.80,,
WPO181116-N-1,20 TNC SOUTH,113.18,12.26,10.76,167.17,24.13,3.67,,
