,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,11/27/19,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
NKN191119-N-1,1,137.35,12.63,7.53,633.17,61.21,4.81,,,
KWP191119-N-1,2,163.25,15.51,13.87,782.69,63.57,9.05,,,
KKS191119-N-1,3,149.53,10.04,8.14,686.22,72.45,5.15,,,
KKP191119-N-1,4,226.79,11.04,8.64,678.11,119.80,11.87,,,
KCP191119-N-1,5,270.50,17.55,13.92,532.41,123.14,49.97,,,
NMP191119-N-1,6,179.99,10.05,8.23,886.96,97.44,1.53,,,
MML191120-N-1,7,101.13,8.68,4.85,220.47,17.57,3.30,,,
MMB191120-N-1,8,124.43,10.45,6.07,255.15,41.50,<0.28,,,
MON191120-N-1,9,89.24,7.68,4.24,148.66,9.22,1.66,,,
MAN191120-N-1,10,90.46,7.81,4.03,161.41,5.59,4.90,,,
MAS191120-N-1,11,86.75,9.22,4.17,67.18,5.66,3.19,,,
NMH191121-N-1,12,543.98,19.18,13.67,569.64,92.38,12.73,,,
NMC191121-N-1,13,349.90,9.79,6.78,830.90,266.86,4.03,,,
NHP191121-N-1,14,149.84,9.68,6.06,469.54,71.92,1.69,,,
NKP191121-N-1,15,87.66,7.44,3.55,101.54,6.75,0.90,,,
NSB191121-N-1,16,115.35,9.05,5.36,283.32,37.39,1.09,,,
NKC191121-N-1,17,211.42,9.49,4.82,417.79,128.14,0.93,,,
WKD191122-N-1,18,79.21,9.54,4.01,109.16,9.42,0.94,,,
WKB191122-N-1,19,120.10,11.85,4.67,229.63,36.97,2.07,,,
WUL191122-N-1,20,129.53,8.93,3.04,181.81,39.78,3.89,,,
WPL191122-N-1,21,141.91,10.29,4.75,187.78,30.59,4.18,,,
WPO191122-N-1,22,95.39,7.93,3.04,118.88,16.41,<0.28,,,
