,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,4/16/19,,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
NKN190409-N-1,1,173.95,14.65,9.26,782.02,58.88,5.90,,,,,
KWP190409-N-1,2,122.84,14.16,12.05,1127.14,23.11,3.54,,,,,
KKS190409-N-1,3,184.13,12.47,10.44,1324.40,104.06,2.29,,,,,
KKP190409-N-1,4,116.47,11.71,6.33,317.59,21.58,2.29,,,,,
KCP190409-N-1,5,1188.46,51.55,46.97,3446.91,1057.92,7.64,,,,,
MML190410-N-1,6,117.59,11.98,6.20,298.24,23.03,4.37,,,,,
MMB190410-N-1,7,84.87,8.85,4.62,170.91,10.24,1.05,,,,,
MON190410-N-1,8,105.92,12.33,6.60,299.39,16.87,1.87,,,,,
MAN190410-N-1,9,77.38,8.47,5.14,208.49,5.92,1.69,,,,,
MAS190410-N-1,10,95.82,11.68,6.80,328.37,13.93,2.61,,,,,
NHP190411-N-1,11,195.91,10.03,6.67,519.10,110.11,1.85,,,,,
NKP190411-N-1,12,93.62,9.80,4.09,96.76,4.57,0.62,,,,,
NSB190411-N-1,13,156.60,11.84,7.16,396.74,75.60,1.29,,,,,
NKC190411-N-1,14,318.04,11.91,7.86,617.36,230.72,1.35,,,,,
NMP190411-N-1,15,314.30,12.92,10.83,1779.41,225.51,5.27,,,,,
WKD190412-N-1,16,123.25,11.22,6.26,188.60,24.59,1.47,,,,,
WKB190412-N-1,17,118.53,11.27,6.64,293.91,41.94,1.95,,,,,
WUL190412-N-1,18,246.59,11.90,5.90,337.52,148.59,5.84,,,,,
WPL190412-N-1,19,104.33,10.38,4.36,176.95,29.47,1.77,,,,,
WPO190412-N-1,20,109.82,12.01,6.29,235.38,43.31,0.40,,,,,
