,,,Data Provided by:,,,,
,,,SOEST Laboratory for ,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,
,,,University of Hawaii at Manoa ,,,,
,,,1000 Pope Rd,,,,
,,,"Honolulu, HI 96822",,,,
,,,808-956-5878,,,,
,,,Date Samples Received:,,5/22/18,,
,,,,,,,
,,,Project:,MNMRC,Project: NFWF South Maui WQ Sampling,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
KWP180515-N-1,1 TNC SOUTH,139.44,13.82,8.57,533.87,22.54,5.18
KKS180515-N-1,2 TNC SOUTH,192.06,12.37,8.65,936.06,95.76,3.43
KKP180515-N-1,3 TNC SOUTH,140.31,14.98,7.00,358.41,45.89,3.40,
KCP180515-N-1,4 TNC SOUTH,346.50,31.68,25.54,1581.70,445.89,5.54,
KKO180515-N-1,5 TNC SOUTH,154.10,14.05,7.56,476.12,61.57,2.47,
KKT180515-N-1,6 TNC SOUTH,139.89,12.04,8.01,370.21,57.43,1.29,
MML180516-N-1,7 TNC SOUTH,142.93,14.58,10.55,506.37,55.93,5.61,
MMB180516-N-1,8 TNC SOUTH,222.45,16.22,9.01,545.40,132.40,4.93,
MON180516-N-1,9 TNC SOUTH,223.43,20.88,18.29,1432.59,145.27,2.64,
MAN180516-N-1,11 TNC SOUTH,91.61,14.37,7.82,301.02,9.71,2.49,
MAS180516-N-1,12 TNC SOUTH,158.82,22.87,19.35,1233.40,64.92,7.69,
NHP180517-N-1,13 TNC SOUTH,220.20,15.63,9.37,534.17,139.31,2.61,
NKP180517-N-1,14 TNC SOUTH,108.10,10.39,6.37,65.66,7.18,4.03,
NSB180517-N-1,15 TNC SOUTH,123.83,13.06,8.20,264.00,23.81,3.00,
NKC180517-N-1,16 TNC SOUTH,325.86,15.25,9.48,611.53,250.51,1.98,
NMP180517-N-1,17 TNC SOUTH,439.92,18.44,16.30,2308.03,350.97,4.01,
NKN180517-N-1,18 TNC SOUTH,522.35,20.34,19.11,2903.71,416.27,4.70,
WKD180518-N-1,19 TNC SOUTH,123.42,13.54,7.10,167.47,17.42,2.89,
WKB180518-N-1,20 TNC SOUTH,95.14,14.89,5.92,72.10,9.29,3.08
WUL180518-N-1,21 TNC SOUTH,216.42,15.01,7.70,231.61,127.43,2.77
WWA180518-N-1,22 TNC SOUTH,121.20,11.98,6.62,216.82,33.60,2.88
WPL180518-N-1,23 TNC SOUTH,171.70,9.77,7.13,225.00,82.03,2.61
WPO180518-N-1,24 TNC SOUTH,151.38,12.96,6.43,177.21,59.31,3.37
