,,Data Provided by:,,,,,,,
,,SOEST Laboratory for ,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,
,,University of Hawaii at Manoa ,,,,,,,
,,1000 Pope Rd,,,,,,,
,,"Honolulu, HI 96822",,,,,,,
,,808-956-5878,,,,,,,
,,,,,,,,,
,,Date Samples Received:,,7/12/19,,,,,
,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
NKN190702-N-1,1,250.56,13.71,12.29,1502.66,166.06,3.16,,
KWP190702-N-1,2,122.47,11.39,7.59,400.48,11.44,6.55,,
KKS190702-N-1,3,124.08,8.76,6.07,581.48,37.68,0.83,,
KKP190702-N-1,4,166.66,10.04,6.12,293.52,35.85,6.13,,
KCP190702-N-1,5,404.86,19.18,15.49,1043.27,328.32,5.24,,
MML190703-N-1,6,117.94,9.78,5.05,348.78,39.17,0.69,,
MMB190703-N-1,7,293.69,13.21,9.61,893.52,217.07,1.11,,
MON190703-N-1,8,118.05,11.29,10.99,1176.73,53.44,4.15,,
MAN190703-N-1,9,92.37,11.13,5.76,231.33,7.06,4.09,,
MAS190703-N-1,10,86.87,9.03,7.31,339.92,17.47,2.68,,
NHP190703-N-1,11,192.58,11.16,7.85,525.41,106.60,5.75,,
NKP190703-N-1,12,89.25,7.91,4.81,80.77,4.76,3.29,,
NSB190703-N-1,13,116.42,9.62,6.19,257.03,24.51,3.73,,
NKC190703-N-1,14,281.99,12.01,9.16,741.45,201.63,2.09,,
NMP190703-N-1,15,150.60,9.03,7.19,650.16,74.20,3.73,,
WKD190705-N-1,16,91.91,8.90,5.69,229.47,22.58,1.08,,
WKB190705-N-1,17,77.85,6.70,4.16,128.55,4.25,1.97,,
WUL190705-N-1,18,111.40,7.92,4.53,184.95,41.96,2.87,,
WPL190705-N-1,19,130.14,9.15,6.17,280.30,46.63,4.19,,
WPO190705-N-1,20,108.15,8.98,4.61,186.15,31.99,1.54,,
NHC190703-N-1,21,424.22,22.03,20.89,1347.58,343.69,6.59,,
