,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,7/21/21,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
NKN210713-N-1,1,177.40,9.78,8.37,1066.43,107.97,4.37,,,
KWP210713-N-1,2,114.06,13.00,10.99,1083.74,18.78,7.33,,,
KKS210713-N-1,3,109.33,7.33,5.47,501.80,27.82,5.07,,,
KKP210713-N-1,4,99.36,8.67,4.89,272.49,25.69,2.16,,,
KCP210714-N-1,5,584.67,29.79,25.50,2550.60,433.86,8.68,,,
MMB210714-N-1,6,155.80,11.38,6.68,340.25,79.09,2.71,,,
MAN210714-N-1,7,117.42,15.56,10.53,359.39,11.55,6.21,,,
MAS210714-N-1,8,135.18,14.87,14.02,621.13,34.34,18.59,,,
NMH210715-N-1,9,153.29,13.54,11.09,537.14,69.37,14.71,,,
NMC210715-N-1,10,252.13,11.43,7.87,867.72,172.13,9.20,,,
NHP210715-N-1,11,105.47,10.06,6.36,339.43,33.96,4.88,,,
NKP210715-N-1,12,79.24,9.58,4.50,59.21,5.95,3.97,,,
NKC210715-N-1,13,166.61,12.38,6.87,286.86,72.94,5.11,,,
,,,,,,,,,,
