,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,12/13/22,SM90,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
NKN221206-N-1,1,161.50,9.24,6.30,765.28,66.39,3.37,,,
KWP221206-N-1,2,150.71,11.16,7.77,530.21,31.72,3.73,,,
KKS221206-N-1,3,176.71,8.25,5.96,452.60,42.25,4.18,,,
KKP221206-N-1,4,155.37,10.51,8.51,278.47,39.94,9.48,,,
KCP221207-N-1,5,376.59,21.17,20.20,1364.39,235.93,7.59,,,
MMB221207-N-1,6,92.55,7.85,3.59,110.08,6.22,<0.28,,,
MAN221207-N-1,7,99.97,9.75,4.47,266.37,5.99,3.80,,,
MAS221207-N-1,8,110.49,10.45,6.96,510.79,23.59,2.99,,,
NMH221208-N-1,9,133.89,9.90,6.98,329.80,46.17,5.83,,,
NMC221208-N-1,10,181.59,7.73,5.05,260.94,71.99,5.54,,,
NHP221208-N-1,11,183.31,9.87,7.89,400.07,81.24,5.48,,,
NKP221208-N-1,12,128.26,7.52,3.60,84.93,3.22,3.74,,,
NKC221208-N-1,13,179.19,8.06,5.24,434.32,105.10,1.13,,,
,,,,,,,,,,
