,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,7/25/23,SM100,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
NKN230718-N-1,1,316.26,15.09,13.51,2915.36,264.20,8.99,,,,,
KWP230718-N-1,2,145.63,7.45,5.69,663.93,64.12,4.67,,,,,
KKS230718-N-1,3,114.73,10.90,10.28,937.87,45.17,4.84,,,,,
KKP230718-N-1,4,101.47,7.19,5.33,367.65,17.82,5.06,,,,,
KCP230719-N-1,5,1199.01,31.86,28.61,4841.85,1119.28,11.00,,,,,
MMB230719-N-1,6,97.60,7.16,5.53,281.69,36.60,2.65,,,,,
MAN230719-N-1,7,95.20,6.02,4.77,242.28,6.73,4.91,,,,,
MAS230719-N-1,8,87.50,8.96,7.60,415.27,20.23,2.59,,,,,
NMH230720-N-1,9,126.03,10.22,8.51,558.85,59.67,11.70,,,,,
NMC230720-N-1,10,184.68,5.71,4.33,710.81,120.51,7.53,,,,,
NHP230720-N-1,11,104.82,6.55,4.70,266.96,31.48,8.51,,,,,
NKP230720-N-1,12,78.07,7.46,5.47,140.31,2.28,4.96,,,,,
NKC230720-N-1,13,150.39,9.69,7.82,424.70,97.93,5.06,,,,,
,,,,,,,,,,,,
