,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,7/6/23,SM99,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
NKN230627-N-1,1,241.20,15.84,14.75,2510.37,176.00,9.82,,,,,
KWP230627-N-1,2,86.17,11.50,9.21,558.24,8.57,4.05,,,,,
KKS230627-N-1,3,92.54,9.36,6.85,531.02,28.99,1.88,,,,,
KKP230627-N-1,4,81.88,9.00,5.16,198.55,13.24,3.96,,,,,
KCP230628-N-1,5,603.05,15.40,14.35,2308.24,515.24,11.53,,,,,
MMB230628-N-1,6,119.69,7.25,3.46,390.32,76.68,1.71,,,,,
MAN230628-N-1,7,72.97,7.12,4.16,171.66,3.81,8.68,,,,,
MAS230628-N-1,8,65.49,8.31,4.83,208.97,7.31,6.14,,,,,
NMH230629-N-1,9,122.32,10.72,7.70,754.22,67.31,14.07,,,,,
NMC230629-N-1,10,338.07,9.90,6.72,2341.24,291.46,11.98,,,,,
NHP230629-N-1,11,190.48,18.54,16.35,556.54,95.11,10.37,,,,,
NKP230629-N-1,12,66.18,6.70,2.46,64.96,1.16,2.43,,,,,
NKC230629-N-1,13,139.49,9.52,5.66,513.01,96.94,3.65,,,,,
,,,,,,,,,,,,
