,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,3/28/19,,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
NKN190319-N-1,1,318.68,14.19,12.17,1174.38,134.13,4.88,,,,,
KWP190319-N-1,2,114.21,11.50,7.56,495.76,14.21,4.03,,,,,
KKS190319-N-1,3,136.50,12.94,10.63,830.46,57.79,4.54,,,,,
KKP190319-N-1,4,125.81,10.85,6.86,271.29,27.60,3.40,,,,,
KCP190319-N-1,5,540.84,27.21,25.04,1348.73,430.18,14.24,,,,,
MML190320-N-1,6,136.65,11.04,7.18,400.30,44.50,2.52,,,,,
MMB190320-N-1,7,125.81,11.10,6.73,360.33,45.46,0.35,,,,,
MON190320-N-1,8,137.29,14.18,11.77,945.28,60.58,1.11,,,,,
MAN190320-N-1,9,107.40,12.16,8.54,519.33,16.27,2.39,,,,,
MAS190320-N-1,10,148.02,16.62,14.51,806.84,34.81,3.91,,,,,
NHP190321-N-1,11,254.85,12.78,8.96,602.70,150.30,2.53,,,,,
NKP190321-N-1,12,82.15,9.16,4.26,64.08,0.71,1.00,,,,,
NSB190321-N-1,13,106.77,9.86,6.09,253.15,26.48,<0.28,,,,,
NKC190321-N-1,14,616.16,13.86,10.19,916.72,505.69,0.37,,,,,
NMP190321-N-1,15,362.34,12.98,11.01,1800.47,265.18,4.05,,,,,
WKD190322-N-1,16,98.15,11.35,5.93,187.30,14.26,0.86,,,,,
WKB190322-N-1,17,84.20,9.27,5.14,85.56,4.95,2.55,,,,,
WUL190322-N-1,18,234.13,11.04,6.89,307.56,156.10,2.18,,,,,
WPL190322-N-1,19,112.54,9.33,4.36,178.91,34.65,1.73,,,,,
WPO190322-N-1,20,109.78,11.26,5.87,189.72,30.56,<0.28,,,,,
