,,,Data Provided by:,,,,,,,,,,
,,,SOEST Laboratory for ,,,,,,,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,,University of Hawaii at Manoa ,,,,,,,,,,
,,,1000 Pope Rd,,,,,,,,,,
,,,"Honolulu, HI 96822",,,,,,,,,,
,,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,,
,,,Date Samples Received:,,2/12/19,,,,,,,,
,,,,,,,,,,,,,
,,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,,
NKN190205-N-1,1,121.60,8.80,7.57,586.45,43.86,7.12,,,,,,
KWP190205-N-1,2,133.12,14.90,13.74,1003.49,49.84,5.89,,,,,,
KKS190205-N-1,3,113.46,7.91,6.97,608.93,37.35,3.85,,,,,,
KKP190205-N-1,4,121.48,8.45,6.78,394.67,41.60,3.92,,,,,,
KCP190205-N-1,5,361.15,21.79,20.47,1041.19,233.73,8.82,,,,,,
MML190206-N-1,7,86.16,9.66,6.19,143.32,8.64,2.80,,,,,,
MMB190206-N-1,6,80.86,7.85,5.82,111.68,8.65,2.46,,,,,,
MON190206-N-1,8,76.28,7.30,5.66,176.44,8.99,3.45,,,,,,
MAN190206-N-1,9,78.85,8.05,5.62,119.49,5.08,3.00,,,,,,
MAS190206-N-1,10,69.59,7.39,6.12,208.47,8.57,2.89,,,,,,
NHP190207-N-1,11,181.71,10.26,8.60,579.45,84.11,4.96,,,,,,
NKP190207-N-1,12,202.90,21.12,19.74,1158.77,26.33,6.31,,,,,,
NSB190207-N-1,13,202.11,9.96,8.88,759.64,107.50,3.48,,,,,,
NKC190207-N-1,14,416.79,11.13,9.45,842.27,269.38,4.14,,,,,,
NMP190207-N-1,15,188.96,10.58,9.94,1091.29,106.03,5.21,,,,,,
WKD190208-N-1,16,76.04,8.09,4.88,81.79,5.57,1.98,,,,,,
WKB190208-N-1,17,77.29,8.55,4.29,82.69,5.00,4.95,,,,,,
WUL190208-N-1,18,73.69,7.80,4.33,89.42,8.09,4.10,,,,,,
WPL190208-N-1,19,75.03,8.65,4.73,85.79,6.28,1.95,,,,,,
WPO190208-N-1,20,90.39,12.05,5.44,119.34,9.65,9.82,,,,,,
