,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,5/17/23,SM97,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
NKN230509-N-1,1,187.62,12.55,8.18,1340.62,109.02,6.66,,,,,
KWP230509-N-1,2,99.96,9.39,6.07,1385.71,7.37,3.25,,,,,
KKS230509-N-1,3,131.61,9.64,4.89,1158.45,39.32,3.14,,,,,
KKP230509-N-1,4,130.33,7.72,3.96,591.59,57.67,3.15,,,,,
KCP230510-N-1,5,601.79,22.80,19.46,2146.53,496.04,47.48,,,,,
MMB230510-N-1,6,288.79,9.78,3.40,313.33,96.34,4.59,,,,,
MAN230510-N-1,7,94.36,6.61,2.72,218.48,5.19,2.96,,,,,
MAS230510-N-1,8,104.53,9.43,6.40,720.67,24.21,3.52,,,,,
NMH230511-N-1,9,136.22,10.16,5.14,462.14,39.55,7.31,,,,,
NMC230511-N-1,10,280.30,12.86,4.52,808.30,119.81,7.78,,,,,
NHP230511-N-1,11,159.39,8.12,2.77,418.18,27.73,7.76,,,,,
NKP230511-N-1,12,93.56,6.90,2.85,73.99,1.97,4.05,,,,,
NKC230511-N-1,13,184.15,12.99,6.96,703.58,99.95,5.80,,,,,
,,,,,,,,,,,,
