,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,9/22/21,,Session: SM69,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
NKN210914-N-1,1,221.02,27.80,14.77,2096.42,121.74,3.87,,,
KWP210914-N-1,2,136.98,14.02,8.96,1126.64,42.79,2.41,,,
KKS210914-N-1-trip,3,155.82,11.93,7.56,879.15,66.47,3.51,,,
KKS210914-N-1,3,160.13,12.67,9.07,880.40,66.51,3.28,,,
KKS210914-N-1-trip,3,161.53,12.38,8.38,868.45,66.76,3.32,,,
KKP210914-N-1,4,108.09,12.40,6.86,279.89,20.38,4.11,,,
KCP210915-N-1-trip,5,484.14,26.29,24.29,2451.58,362.92,14.28,,,
KCP210915-N-1,5,488.05,26.29,23.94,2405.42,355.00,14.77,,,
KCP210915-N-1-trip,5,489.37,26.11,24.25,2397.74,355.84,14.55,,,
MMB210915-N-1,6,113.45,10.27,4.88,306.51,31.28,0.72,,,
MAN210915-N-1,7,92.25,9.82,4.66,158.09,2.63,2.68,,,
MAS210915-N-1,8,88.27,7.98,4.67,125.11,5.14,5.90,,,
NMH210916-N-1,9,138.63,14.34,7.32,519.30,59.16,9.83,,,
NMC210916-N-1,10,221.75,12.56,7.56,815.43,147.02,3.63,,,
NHP210916-N-1,11,171.59,10.56,6.74,607.27,102.44,2.51,,,
NKP210916-N-1-trip,12,79.40,10.93,3.18,70.89,1.52,2.54,,,
NKP210916-N-1,12,79.60,9.23,3.98,71.11,1.48,2.58,,,
NKP210916-N-1-trip,12,81.77,9.74,4.00,70.43,1.45,2.48,,,
NKC210916-N-1,13,163.67,11.99,5.48,443.94,95.02,0.92,,,
