,,,Data Provided by:,,,,
,,,SOEST Laboratory for ,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,
,,,University of Hawaii at Manoa ,,,,
,,,1000 Pope Rd,,,,
,,,"Honolulu, HI 96822",,,,
,,,808-956-5878,,,,
,,,Date Samples Received:,,5/8/18,,
,,,,,,,
,,,Project:,MNMRC,Project: NFWF South Maui WQ Sampling,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
KWP180501-N-1,1 TNC SOUTH,114.91,11.27,9.72,810.92,10.14,3.21
KKS180501-N-1,2 TNC SOUTH,143.94,8.16,6.92,543.10,51.05,2.85
KKP180501-N-1,3 TNC SOUTH,106.02,14.30,5.75,188.89,20.93,2.28,
KCP180501-N-1,4 TNC SOUTH,460.56,27.92,23.51,1351.63,414.65,5.78,
KKO180501-N-1,5 TNC SOUTH,147.85,11.51,7.12,476.56,63.92,1.29,
KKT180501-N-1,6 TNC SOUTH,131.39,10.33,7.06,372.56,54.66,2.45,
MML180502-N-1,7 TNC SOUTH,115.78,11.68,7.29,300.59,31.54,2.68,
MMB180502-N-1,8 TNC SOUTH,243.07,9.92,8.11,614.21,166.35,2.03,
MON180502-N-1,9 TNC SOUTH,151.20,13.70,12.09,881.82,87.80,2.19,
MBS180502-N-1,10 TNC SOUTH,76.55,8.51,5.45,67.06,1.83,1.29,
MAN180502-N-1,11 TNC SOUTH,77.68,7.51,6.57,272.75,5.39,2.50,
MAS180502-N-1,12 TNC SOUTH,137.08,19.77,18.06,1475.00,68.89,2.16,
NHP180503-N-1,13 TNC SOUTH,202.15,10.60,7.41,511.28,106.00,2.90,
NKP180503-N-1,14 TNC SOUTH,71.14,8.24,5.36,61.85,1.11,1.54,
NSB180503-N-1,15 TNC SOUTH,132.64,10.46,7.20,270.60,30.10,4.93,
NKC180503-N-1,16 TNC SOUTH,329.95,10.85,8.66,716.15,316.55,2.15,
NMP180503-N-1,17 TNC SOUTH,542.27,15.47,14.31,2209.98,457.18,2.27,
NKN180503-N-1,18 TNC SOUTH,534.07,20.22,18.46,2872.71,436.64,2.71,
WKD180504-N-1,19 TNC SOUTH,108.51,13.08,5.33,171.91,24.23,1.29
WKB180504-N-1,20 TNC SOUTH,103.93,9.10,4.41,111.82,9.44,3.14
WUL180504-N-1,21 TNC SOUTH,197.99,9.88,5.80,210.91,104.29,2.33
WWA180504-N-1,22 TNC SOUTH,115.35,10.40,6.15,180.13,24.25,1.86
WPL180504-N-1,23 TNC SOUTH,133.60,9.10,4.44,159.49,56.66,2.33
WPO180504-N-1,24 TNC SOUTH,105.46,8.26,4.78,135.98,38.49,1.29
