,,Data Provided by:,,,,,,,
,,SOEST Laboratory for ,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,
,,University of Hawaii at Manoa ,,,,,,,
,,1000 Pope Rd,,,,,,,
,,"Honolulu, HI 96822",,,,,,,
,,808-956-5878,,,,,,,
,,,,,,,,,
,,Date Samples Received:,,5/31/19,,,,,
,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
NKN190521-N-1,1,190.72,8.18,7.83,1157.53,126.97,2.24,,
KWP190521-N-1,2,180.31,10.24,8.50,559.32,15.98,8.02,,
KKS190521-N-1,3,214.15,9.42,8.52,1219.08,110.05,2.56,,
KKP190521-N-1,4,152.39,8.50,4.52,407.08,38.53,3.31,,
KCP190521-N-1,5,773.82,26.78,25.69,1924.96,599.31,5.48,,
MML190522-N-1,6,132.52,9.53,5.21,371.24,46.79,1.88,,
MMB190522-N-1,7,214.38,10.91,7.90,598.98,135.48,<0.28,,
MON190522-N-1,8,124.71,8.74,6.79,696.73,36.51,1.07,,
MAN190522-N-1,9,100.15,6.57,3.26,231.85,6.42,0.56,,
NHP190523-N-1,11,116.90,8.24,3.57,234.44,32.47,1.18,,
NKP190523-N-1,12,93.48,7.87,3.64,55.16,2.63,0.48,,
NSB190523-N-1,13,118.61,10.24,5.95,254.47,11.55,1.80,,
NKC190523-N-1,14,223.85,8.87,5.90,488.90,154.73,<0.28,,
NMP190523-N-1,15,154.28,9.16,5.85,622.90,62.28,0.79,,
WKD190524-N-1,16,150.03,8.00,4.70,280.50,37.78,1.20,,
WKB190524-N-1,17,140.09,6.66,3.22,105.13,2.22,2.79,,
WUL190524-N-1,18,174.16,7.92,5.70,319.31,83.83,1.24,,
WPL190524-N-1,19,160.91,8.18,4.14,336.65,49.36,4.76,,
WPO190524-N-1,20,141.51,8.40,3.82,142.51,21.43,0.98,,
