,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,1/23/20,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
NKN200114-N-1,1,112.05,14.58,9.48,847.47,47.62,1.30,,,
KWP200114-N-1,2,232.75,19.49,16.51,1425.11,156.27,6.56,,,
KKS200114-N-1,3,201.11,14.17,11.08,1024.94,119.63,2.94,,,
KKP200114-N-1,4,187.18,14.21,9.00,535.39,103.13,5.24,,,
KCP200114-N-1,5,279.74,42.87,26.71,757.19,133.22,36.65,,,
NMP200114-N-1,6,185.77,13.90,8.98,929.11,108.34,1.78,,,
MML200115-N-1,7,87.09,14.16,4.71,90.35,4.81,1.79,,,
MMB200115-N-1,8,82.57,11.28,5.20,95.10,8.01,1.73,,,
MON200115-N-1,9,70.04,10.04,4.40,108.01,4.38,1.40,,,
MAN200115-N-1,10,94.98,12.81,6.13,195.35,3.94,6.94,,,
MAS200115-N-1,11,89.39,12.66,6.18,199.24,10.18,1.97,,,
NMH200116-N-1,12,141.00,14.56,8.99,485.22,64.48,6.14,,,
NMC200116-N-1,13,210.04,13.39,8.92,705.50,143.78,4.72,,,
NHP200116-N-1,14,133.70,12.75,6.57,307.11,54.92,2.05,,,
NKP200116-N-1,15,81.68,12.09,4.22,59.53,4.18,1.52,,,
NSB200116-N-1,16,91.58,11.61,5.54,236.88,18.37,2.06,,,
NKC200116-N-1,17,196.21,13.30,5.84,359.28,126.16,1.58,,,
WKD200117-N-1,18,80.26,12.00,4.65,108.78,6.90,<0.28,,,
WKB200117-N-1,19,97.90,12.13,4.58,96.86,7.95,3.78,,,
WUL200117-N-1,20,125.04,11.51,4.07,151.16,43.35,2.31,,,
WPL200117-N-1,21,96.79,10.83,4.43,219.56,22.77,0.50,,,
WPO200117-N-1,22,111.50,11.46,3.95,100.75,18.82,3.81,,,
