,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,10/1/19,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
NKN190924-N-1,1,206.30,10.22,9.36,945.71,94.68,4.40,,,
KWP190924-N-1,2,103.45,8.31,6.46,501.69,9.29,4.22,,,
KKS190924-N-1,3,120.89,7.21,6.81,632.98,34.25,2.76,,,
KKP190924-N-1,4,121.91,8.61,5.20,185.00,20.67,2.32,,,
KCP190924-N-1,5,630.91,27.65,26.92,1507.53,448.45,20.27,,,
NMP190924-N-1,6,193.37,9.81,8.37,1011.46,111.44,3.67,,,
MML190925-N-1,7,127.32,8.78,6.66,354.97,34.13,9.39,,,
MMB190925-N-1,8,210.30,8.89,6.79,525.71,118.58,2.16,,,
MON190925-N-1,9,105.26,10.80,9.01,860.71,30.47,2.35,,,
MAN190925-N-1,10,94.31,6.33,4.46,171.81,5.55,1.01,,,
MAS190925-N-1,11,99.10,8.35,6.21,197.22,7.94,4.68,,,
NMH190926-N-1,12,277.70,13.90,11.46,476.01,71.53,11.49,,,
NMC190926-N-1,13,311.08,10.74,8.90,809.78,217.47,6.33,,,
NHP190926-N-1,14,181.83,9.81,6.79,503.21,84.44,2.76,,,
NKP190926-N-1,15,91.32,8.05,4.68,168.71,5.89,1.87,,,
NSB190926-N-1,16,91.54,8.08,4.67,168.19,10.87,3.08,,,
NKC190926-N-1,17,174.04,9.72,7.30,487.66,88.81,2.07,,,
WKD190927-N-1,18,124.96,8.40,5.15,162.90,15.74,2.55,,,
WKB190927-N-1,19,89.94,7.46,3.90,91.64,5.66,0.97,,,
WUL190927-N-1,20,124.95,7.76,4.60,203.02,35.14,2.10,,,
WPL190927-N-1,21,110.29,7.99,5.03,170.27,19.53,1.85,,,
WPO190927-N-1,22,93.69,7.59,3.91,136.94,16.49,1.98,,,
