,,,Data Provided by:,,,,,,,,
,,,SOEST Laboratory for ,,,,,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,,University of Hawaii at Manoa ,,,,,,,,
,,,1000 Pope Rd,,,,,,,,
,,,"Honolulu, HI 96822",,,,,,,,
,,,808-956-5878,,,,,,,,
,,,Date Samples Received:,,6/5/18,,,,,,
,,,,,,,,,,,
,,,Project:,MNMRC,Project: NFWF South Maui WQ Sampling,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,
KWP180529-N-1,1 TNC SOUTH,122.26,11.31,7.84,820.75,25.27,9.01,,,,
KKS180529-N-1,2 TNC SOUTH,198.08,8.93,8.66,1062.58,106.77,7.89,,,,
KKP180529-N-1,3 TNC SOUTH,142.20,6.45,5.24,411.02,50.98,6.01,
KCP180529-N-1,4 TNC SOUTH,666.80,33.53,30.26,2169.30,607.28,10.91,
KKO180529-N-1,5 TNC SOUTH,146.39,11.70,6.84,579.47,62.43,1.79,
KKT180529-N-1,6 TNC SOUTH,163.66,7.82,6.62,405.69,61.36,3.50,
MML180530-N-1,7 TNC SOUTH,136.54,8.94,7.65,450.74,58.25,4.80,
MMB180530-N-1,8 TNC SOUTH,122.35,8.77,6.45,271.62,48.68,2.20,
MON180530-N-1,9 TNC SOUTH,156.52,11.03,10.80,910.68,77.60,4.60,
MBS180530-N-1,10 TNC SOUTH,78.05,7.78,5.40,80.55,2.85,1.12,
MAN180530-N-1,11 TNC SOUTH,81.37,9.52,8.38,319.99,8.11,4.94,
MAS180530-N-1,12 TNC SOUTH,109.44,14.25,9.40,478.70,18.10,6.29,
NHP180531-N-1,13 TNC SOUTH,139.82,7.43,6.94,291.67,59.27,4.63,
NKP180531-N-1,14 TNC SOUTH,86.72,11.08,7.61,119.90,6.49,4.51,
NSB180531-N-1,15 TNC SOUTH,100.02,9.95,7.66,239.26,14.91,2.79,
NKC180531-N-1,16 TNC SOUTH,306.32,12.28,8.20,601.17,231.73,2.56,
NMP180531-N-1,17 TNC SOUTH,178.03,12.50,10.31,846.13,98.31,6.10,
NKN180531-N-1,18 TNC SOUTH,280.96,15.33,13.32,1538.52,211.52,4.23,
WKD180601-N-1,19 TNC SOUTH,114.50,9.59,5.95,202.29,35.84,3.66
WKB180601-N-1,20 TNC SOUTH,83.10,7.69,4.72,38.25,6.43,3.73
WUL180601-N-1,21 TNC SOUTH,210.54,8.51,5.68,239.99,134.91,4.60
WWA180601-N-1,22 TNC SOUTH,97.50,6.82,4.34,58.85,12.46,4.54
WPL180601-N-1,23 TNC SOUTH,145.75,9.35,6.19,185.37,73.25,3.97
WPO180601-N-1,24 TNC SOUTH,141.16,7.92,5.14,167.72,65.06,1.73
