,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,7/7/20,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
NKN200630-N-1,1,273.91,18.29,14.22,1649.32,178.84,2.76,,,
KWP200630-N-1,2,107.11,14.38,11.55,616.44,10.51,1.58,,,
KKS200630-N-1,3,136.16,10.92,8.22,676.12,49.77,0.95,,,
KKP200630-N-1,4,178.63,10.48,6.86,490.48,89.14,2.12,,,
KCP200630-N-1,5,543.93,23.70,16.38,2121.50,409.27,8.69,,,
NMP200630-N-1,6,186.80,10.86,8.15,1067.38,100.75,2.21,,,
MML200701-N-1,7,153.18,11.16,7.87,625.02,69.78,2.90,,,
MMB200701-N-1,8,194.54,9.80,6.39,600.28,115.11,0.90,,,
MON200701-N-1,9,132.28,9.81,7.50,685.42,27.62,1.65,,,
MAN200701-N-1,10,98.66,8.05,5.06,175.85,7.71,2.26,,,
MAS200701-N-1,11,94.94,9.06,6.57,152.72,9.93,6.14,,,
NMH200702-N-1,12,181.71,12.96,10.45,617.48,92.37,9.25,,,
NMC200702-N-1,13,372.47,13.04,10.15,1097.99,257.05,9.04,,,
NHP200702-N-1,14,114.53,10.14,4.68,160.29,25.38,2.50,,,
NKP200702-N-1,15,103.40,9.41,4.56,82.44,6.11,8.33,,,
NSB200702-N-1,16,99.46,9.11,6.83,219.62,17.26,1.76,,,
NKC200702-N-1,17,205.30,10.89,7.03,440.12,115.95,4.82,,,
WKD200703-N-1,18,99.63,7.54,5.21,213.01,22.70,1.23,,,
WKB200703-N-1,19,97.98,7.18,3.84,144.99,12.75,2.57,,,
WUL200703-N-1,20,219.02,9.07,6.49,308.08,129.39,1.46,,,
WPL200703-N-1,21,114.39,9.38,5.26,185.50,33.59,0.73,,,
WPO200703-N-1,22,146.33,8.16,4.77,312.80,54.60,3.27,,,
