,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,11/3/22,SM88,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
NKN221025-N-1,1,177.63,10.26,7.01,606.69,60.85,3.93,,,
KWP221025-N-1,2,133.61,13.78,11.93,1189.40,36.22,1.11,,,
KKS221025-N-1,3,153.61,10.46,6.76,620.17,52.04,2.55,,,
KKP221025-N-1,4,125.27,10.33,7.26,341.12,19.20,6.73,,,
KCP221026-N-1,5,356.11,19.38,16.06,1261.14,200.53,14.99,,,
MMB221026-N-1,6,91.23,8.58,3.37,81.69,3.18,<0.28,,,
MAN221026-N-1,7,107.24,8.83,4.35,221.71,6.36,3.61,,,
MAS221026-N-1,8,120.77,10.01,6.40,391.66,20.08,2.51,,,
NMH221027-N-1,9,206.12,12.76,8.44,459.18,53.93,14.24,,,
NMC221027-N-1,10,140.26,9.46,4.88,297.43,39.60,5.56,,,
NHP221027-N-1,11,137.76,8.52,4.89,327.34,36.51,2.46,,,
NKP221027-N-1,12,98.33,8.46,3.42,61.96,2.25,1.63,,,
NKC221027-N-1,13,171.61,9.03,4.42,267.00,66.02,4.12,,,
,,,,,,,,,,
