,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,10/15/19,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
RNS191008-N-1,1,94.02,7.08,3.93,144.22,10.50,1.78,,,
RPO191008-N-1,2,245.89,12.90,11.58,1069.50,177.24,4.42,,,
RKS191008-N-1,3,84.82,7.56,4.20,159.79,6.11,0.83,,,
RCB191008-N-1,4,120.65,6.90,4.98,440.22,44.03,1.90,,,
RWA191008-N-1,5,74.55,7.63,5.16,269.71,6.05,<0.28,,,
PFF191009-N-1,6,83.52,6.24,5.03,235.82,1.92,1.63,,,
PLH191009-N-1,7,80.20,6.27,5.43,322.53,5.30,1.12,,,
PLT191009-N-1,8,70.12,4.13,3.23,125.48,2.96,0.43,,,
OSF191009-N-1,9,67.68,4.32,3.43,168.98,2.83,1.09,,,
OPM191010-N-1,10,79.60,6.89,4.24,261.71,3.64,1.73,,,
OCO191010-N-1,11,63.02,4.58,4.44,379.76,4.16,<0.28,,,
OUB191010-N-1,12,72.46,5.12,3.27,121.20,3.07,0.53,,,
OPB191010-N-1,13,57.78,3.41,2.18,106.53,1.66,2.37,,,
OPP191010-N-1,14,58.02,3.87,2.22,92.04,0.85,<0.28,,,
RHL191011-N-1,15,119.94,8.80,6.72,630.22,5.98,10.26,,,
RON191011-N-1,16,87.76,5.86,3.10,88.30,4.26,2.79,,,
RFS191011-N-1,17,194.40,15.32,15.09,1299.12,125.80,2.78,,,
RKO191011-N-1,18,185.46,11.34,10.86,832.54,116.67,3.52,,,
RKV191011-N-1,19,114.32,8.15,8.00,723.59,39.82,4.74,,,
