,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,6/23/22,WM106,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
RNS220614-N-1,1,139.44,11.26,8.46,716.66,59.64,2.00,,,
RPO220614-N-1,2,339.07,16.41,13.56,2710.13,287.21,4.06,,,
RKS220614-N-1,3,88.16,6.06,2.34,204.86,4.59,2.53,,,
RKT220614-N-1,4,94.86,7.84,4.51,160.39,8.15,2.09,,,
RCB220614-N-1,5,98.10,7.49,4.63,268.69,12.22,2.87,,,
RWA220614-N-1,6,114.39,13.83,10.94,1353.33,31.98,1.01,,,
PFF220615-N-1,7,90.63,5.85,3.30,379.15,5.36,3.04,,Removed PLT220615-N-1 due to bad sampling technics,
PLH220615-N-1,8,106.57,6.51,3.46,355.33,19.51,3.95,,,
OCO220615-N-1,10,83.43,5.42,2.29,324.90,1.22,1.33,,,
OPP220615-N-1,11,104.33,13.23,10.16,124.53,3.76,0.79,,,
RHL220616-N-1,12,129.70,10.58,6.68,475.38,2.72,11.04,,,
RON220616-N-1,13,90.55,8.24,3.38,173.50,3.87,3.23,,,
RFS220616-N-1,14,137.19,9.88,4.96,218.98,21.69,4.27,,,
RKO220616-N-1,15,124.79,9.87,6.12,524.42,47.19,4.63,,,
RKV220616-N-1,16,105.11,8.51,3.54,510.02,18.98,3.68,,,
