,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,8/8/17,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS170801-N-1,1 TNC,161.70,23.25,14.27,907.91,64.75,5.73
RPO170801-N-1,2 TNC,270.99,20.20,14.48,1066.38,205.32,3.66
RKS170801-N-1,3 TNC,82.81,12.82,6.74,171.65,8.00,3.62,,
RAB170801-N-1,4 TNC,96.29,12.71,7.96,326.92,25.42,2.59,,
RCB170801-N-1,5 TNC,111.86,13.26,8.37,311.91,32.34,3.69,,
RWA170801-N-1,6 TNC,82.82,14.50,9.15,315.35,11.79,3.31,,
PFF170802-N-1,7 TNC,80.20,15.48,11.25,771.08,3.88,4.66,,
PLH170802-N-1,8 TNC,71.38,11.01,8.62,273.52,7.15,1.94,,
PLT170802-N-1,9 TNC,85.56,12.35,8.66,352.90,17.83,4.64,,
PPU170802-N-1,10 TNC,67.79,9.37,5.14,39.53,2.95,1.17,,
OLP170802-N-1,11 TNC,83.46,10.06,5.61,43.09,3.54,2.14,,
OSF170802-N-1,12 TNC,79.03,9.74,6.26,48.27,5.34,7.04,,
OPM170803-N-1,13 TNC,116.30,7.28,4.41,234.95,6.80,7.34,,
OCO170803-N-1,14 TNC,70.15,7.41,5.38,404.69,5.50,1.76,,
OMM170803-N-1,15 TNC,76.61,7.74,5.55,284.54,4.90,2.44,,
OUB170803-N-1,16 TNC,74.01,11.18,5.19,65.70,4.77,1.23,,
OPB170803-N-1,17 TNC,68.99,7.55,4.20,109.59,6.79,1.82,,
OPP170803-N-1,18 TNC,62.15,7.99,5.30,170.62,3.91,1.47,,
RHL170804-N-1,19 TNC,85.10,11.47,6.82,395.00,3.63,6.93
RFN170804-N-1,20 TNC,78.32,11.07,6.47,202.35,9.54,1.86
RON170804-N-1,21 TNC,73.51,10.25,4.96,104.47,7.89,1.85
RFS170804-N-1,22 TNC,210.65,20.10,14.61,926.01,109.84,5.05
RKO170804-N-1,23 TNC,94.66,11.26,7.48,346.36,32.88,2.11
RKV170804-N-1,24 TNC,92.12,9.78,5.96,235.17,11.82,3.65
RFS170804-N-2,25 TNC,211.94,19.39,13.95,895.43,110.19,5.25
