,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,2/15/23,WM117,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
RNS230207-N-1,1,80.50,9.71,5.58,210.01,6.15,4.17,,,,,
RPO230207-N-1,2,114.54,13.03,11.12,601.37,43.42,11.02,,,,,
RKS230207-N-1,3,90.96,9.99,5.48,252.32,5.17,5.52,,,,,
RKT230207-N-1,4,76.42,12.41,9.14,168.97,5.18,12.88,,,,,
RCB230207-N-1,5,94.24,11.40,7.13,312.28,16.49,3.89,,,,,
RWA230207-N-1,6,87.64,15.19,12.68,1216.91,23.26,4.28,,,,,
PFF230208-N-1,7,77.22,11.00,8.17,473.79,3.19,6.28,,,,,
PLH230208-N-1,8,108.98,12.18,7.73,446.08,9.64,5.22,,,,,
PLT230208-N-1,9,103.24,12.68,8.04,330.22,8.74,5.80,,,,,
OCO230208-N-1,10,60.28,6.82,4.78,360.24,4.81,2.87,,,,,
OPP230208-N-1,11,74.87,7.74,5.00,465.91,4.82,3.33,,,,,
RHL221020-N-1-missing,12,Missing Sample,,,,,,,,,,
RON230209-N-1,13,73.44,9.24,3.47,114.87,2.57,3.11,,RON230209-N-1,*The date on these samples varied from what was on the bottle (in the chart) to what was on the CoC form (noted to the left). I did not receive an emailed session summary list. ,,
RFS230209-N-1,14,80.61,10.69,5.46,104.01,4.93,4.45,,RFS230209-N-1,,,
RKO230209-N-1,15,80.77,10.93,7.73,364.69,19.70,3.24,,RKO230209-N-1,,,
RKV230209-N-1,16,80.74,11.07,8.34,589.98,19.80,3.24,,RKV230209-N-1,,,
