,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,7/29/21,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
RNS210720-N-1,1,122.78,13.31,12.76,918.34,42.55,4.52,,,
RPO210720-N-1,2,184.82,9.40,8.57,637.77,112.65,2.67,,,
RKS210720-N-1,3,76.59,6.59,3.78,165.43,4.03,2.50,,,
RKT210720-N-1,4,87.42,7.20,2.03,73.69,5.15,3.01,,,
RCB210720-N-1,5,169.36,10.25,8.11,853.10,76.18,4.68,,,
RWA210720-N-1,6,104.15,11.11,8.00,531.30,16.24,2.07,,,
PFF210721-N-1,7,123.53,7.42,5.43,256.97,4.86,4.78,,,
PLH210721-N-1,8,120.96,8.51,6.02,266.31,9.17,6.51,,,
PLT210721-N-1,9,96.40,7.20,4.70,123.10,6.04,4.81,,,
OCO210721-N-1,10,71.93,5.96,5.66,380.40,3.37,3.98,,,
OPP210721-N-1,11,89.38,7.06,5.19,384.55,4.00,2.10,,,
RHL210722-N-1,12,110.06,12.91,11.15,559.93,6.54,6.25,,,
RON210722-N-1,13,208.82,14.45,8.81,181.19,14.07,5.21,,,
RFS210722-N-1,14,164.20,12.60,9.98,500.29,48.26,8.19,,,
RKO210722-N-1,15,145.91,11.18,10.75,740.70,71.56,3.84,,,
RKV210722-N-1,16,94.12,7.11,4.27,271.94,11.97,3.64,,,
