,,Data Provided by:,,,,,,,
,,SOEST Laboratory for ,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,
,,University of Hawaii at Manoa ,,,,,,,
,,1000 Pope Rd,,,,,,,
,,"Honolulu, HI 96822",,,,,,,
,,808-956-5878,,,,,,,
,,,,,,,,,
,,Date Samples Received:,,7/3/19,,,,,
,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
RNS190625-N-1,1,103.14,13.02,10.06,670.63,61.35,3.35,,
RPO190625-N-1,2,224.84,14.08,11.65,1038.07,183.32,3.38,,
RKS190625-N-1,3,56.87,8.72,4.48,165.40,7.53,1.69,,
RCB190625-N-1,4,166.88,11.63,8.95,1026.77,135.06,3.39,,
RWA190625-N-1,5,75.51,13.48,11.65,1047.55,32.09,0.80,,
PFF190626-N-1,6,68.40,9.47,8.29,535.31,8.95,0.80,,
PLH190626-N-1,7,79.86,9.28,7.29,417.89,22.56,6.14,,
PLT190626-N-1,8,79.06,7.07,5.43,471.21,21.12,2.39,,
RHL190628-N-1,9,75.71,8.78,6.15,381.07,2.49,4.54,,
RON190628-N-1,10,68.93,6.85,3.21,94.23,6.51,1.19,,
RFS190628-N-1,11,173.41,14.52,14.23,1071.31,128.09,4.56,,
RKO190628-N-1,12,101.06,10.20,7.74,507.90,52.50,2.10,,
RKV190628-N-1,13,68.97,7.15,3.97,416.17,14.99,1.81,,
