,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,10/26/22,WM112,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
RNS221018-N-1,1,96.77,8.70,5.38,230.74,6.74,5.71,,,
RPO221018-N-1,2,187.48,13.22,10.72,1182.72,94.13,5.56,,,
RKS221018-N-1,3,109.48,8.66,4.04,80.51,2.83,2.34,,,
RKT221018-N-1,4,93.21,8.27,4.18,103.02,3.37,4.69,,,
RCB221018-N-1,5,102.80,8.94,3.74,169.70,6.56,5.66,,,
RWA221018-N-1,6,95.20,10.54,5.63,346.94,4.51,1.50,,,
PFF221019-N-1,7,95.70,14.47,12.92,1361.16,3.25,5.52,,,
PLH221019-N-1,8,95.37,9.70,6.82,369.96,4.21,5.86,,,
PLT221019-N-1,9,116.05,11.10,6.36,408.50,6.75,4.69,,,
OCO221019-N-1,10,94.03,6.91,2.98,251.67,1.44,0.95,,,
OPP221019-N-1,11,84.09,6.08,3.49,187.10,1.37,1.84,,,
RHL221020-N-1,12,139.85,12.36,7.75,662.80,3.21,2.32,,,
RON221020-N-1,13,95.03,8.10,3.63,143.84,1.94,1.53,,,
RFS221020-N-1,14,137.12,12.30,8.77,437.64,25.55,8.59,,,
RKO221020-N-1,15,140.12,13.27,10.11,583.32,44.98,1.44,,,
RKV221020-N-1,16,131.67,10.31,4.62,161.39,3.34,1.95,,,
