,,,Data Provided by:,,,,,,
,,,SOEST Laboratory for ,,,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,,,
,,,University of Hawaii at Manoa ,,,,,,
,,,1000 Pope Rd,,,,,,
,,,"Honolulu, HI 96822",,,,,,
,,,808-956-5878,,,,,,
,,,,,,,,,
,,,Date Samples Received:,,12/12/18,,,,
,,,,,,,,,
,,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
RNS181127-N-1,1,92.95,7.34,4.01,77.03,4.77,3.30,,
RPO181127-N-1,2,128.47,12.83,11.60,480.94,50.74,2.85,,
RKS181127-N-1,3,88.91,7.60,3.94,103.02,5.82,1.93,,
RCB181127-N-1,4,195.05,13.69,10.53,154.85,10.05,4.79,,
RWA181127-N-1,5,93.13,10.33,7.25,287.22,4.96,2.21,,
PFF181128-N-1,6,92.43,10.14,8.20,443.05,3.41,3.31,,
PLH181128-N-1,7,84.91,13.75,9.84,339.19,4.96,2.75,,
PLT181128-N-1,8,117.73,12.33,10.45,393.21,10.06,6.79,,
OSF181128-N-1,9,116.09,8.55,4.02,97.80,4.36,14.84,,
OPM181129-N-1,10,112.15,7.88,3.77,154.23,6.74,3.12,,
OCO181129-N-1,11,89.33,3.31,2.68,242.24,5.09,4.12,,
OUB181129-N-1,12,88.82,6.09,2.38,112.54,2.02,3.30,,
OPB181129-N-1,13,99.18,6.41,2.94,59.09,2.75,1.48,,
OPP181129-N-1,14,90.30,6.71,3.08,185.44,4.23,2.44,,
RHL181130-N-1,15,104.36,9.16,4.88,365.58,4.26,13.43,,
RON181130-N-1,16,89.11,8.38,3.72,96.36,6.20,4.58,,
RFS181130-N-1,17,149.36,9.83,7.00,244.50,24.97,6.56,,
RKO181130-N-1,18,140.46,9.95,8.01,371.73,42.50,7.97,,
RKV181130-N-1,19,107.22,9.08,6.02,317.69,15.74,5.30,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
