,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,7/7/16,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RPO160628-N-1,TNC 1,332.98,24.80,18.29,1621.15,259.15,5.43
RKS160628-N-1,TNC 2,75.12,14.77,8.49,1435.92,6.13,3.59
RAB160628-N-1,TNC 3,90.93,16.97,8.28,510.71,26.44,2.59
RCB160628-N-1,TNC 4,121.25,18.89,9.13,649.57,57.28,3.20
RWA160628-N-1,TNC 5,83.60,20.43,10.91,633.71,15.03,3.34
PFF160629-N-1,TNC 6,63.47,15.83,6.80,317.31,2.06,2.91
PLH160629-N-1,TNC 7,65.05,15.92,7.83,245.70,5.67,2.24
PLT160629-N-1,TNC 8,72.79,15.90,6.78,217.71,6.28,3.17
OLP160629-N-1,TNC 9,97.70,14.02,6.11,201.84,8.61,11.26
OSF160629-N-1,TNC 10,87.44,13.94,4.50,84.66,3.88,6.20
OCO160630-N-1,TNC 11,84.09,14.15,5.29,354.48,1.74,4.00
OMM160630-N-1,TNC 12,62.48,15.76,5.35,396.39,2.73,3.12
OUB160630-N-1,TNC 13,76.47,12.30,4.05,113.15,0.12,2.92
OPB160630-N-1,TNC 14,75.58,12.24,3.99,138.61,3.41,3.93
OPP160630-N-1,TNC 15,60.96,12.42,4.49,72.63,0.41,3.48
,,110,16,,,3.5,2
