,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,9/27/16,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RPO160920-N-1,1 TNC,112.75,16.85,11.33,374.10,44.09,4.91
RKS160920-N-1,2 TNC,162.42,16.77,9.10,854.64,12.60,10.28
RAB160920-N-1,3 TNC,193.38,18.32,7.53,364.08,18.00,9.23
RCB160920-N-1,4 TNC,131.44,19.71,7.27,318.73,24.77,10.46
RWA160920-N-1,5 TNC,149.80,17.62,7.24,385.18,10.43,7.07
PFF160921-N-1,6 TNC,79.95,24.54,15.91,1564.76,14.28,6.90
PLH160921-N-1,7 TNC,108.60,29.24,14.43,571.44,24.79,16.65
PLT160921-N-1,8 TNC,111.62,22.22,13.50,660.22,27.32,7.55
OLP160921-N-1,9 TNC,71.98,11.69,5.61,209.47,6.33,7.47
OSF160921-N-1,10 TNC,69.95,12.28,4.40,59.63,4.63,3.42
OPM160922-N-1,11 TNC,71.80,14.80,5.33,145.77,3.94,2.35
OPM160922-N-2,12 TNC,71.93,14.31,5.71,194.43,3.73,2.48
OCO160922-N-1,13 TNC,62.81,14.25,7.22,915.02,4.44,4.86
OMM160922-N-1,14 TNC,74.95,13.51,6.54,270.22,6.28,13.77
OUB160922-N-1,15 TNC,68.23,13.63,4.85,59.54,4.86,10.52
OPB160922-N-1,16 TNC,67.81,13.53,4.31,56.18,4.01,8.80
OPP160922-N-1,17 TNC,69.16,11.45,5.68,303.01,8.82,11.87
