,,Data Provided by:,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,
,,1000 Pope Rd,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,
,,808-956-5878,,,,,,,,
,,,,,,,,,,
,,Date Samples Received:,,5/23/19,,,,,,
,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,
,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,
RNS190514-N-1,1,137.72,10.59,9.75,642.37,44.20,2.26,,,
RPO190514-N-1,2,239.46,14.25,13.56,1236.41,137.23,0.62,,,
RKS190514-N-1,3,125.89,6.93,4.01,145.80,6.62,1.13,,,
RCB190514-N-1,4,215.80,12.14,11.34,1036.34,119.70,1.09,,,
RWA190514-N-1,5,132.99,12.19,11.50,944.49,24.47,0.64,,,
PFF190515-N-1,6,90.40,6.07,5.85,406.32,3.00,2.01,,,
PLH190515-N-1,7,97.50,6.60,4.48,208.18,8.46,5.97,,,
PLT190515-N-1,8,95.13,7.05,3.69,135.43,7.22,1.65,,,
OSF190515-N-1,9,99.87,6.93,3.93,102.82,5.51,0.90,,,
OPM190516-N-1,10,142.45,7.33,3.63,146.55,3.55,2.61,,,
OCO190516-N-1,11,90.40,7.72,4.41,461.09,3.84,2.30,,,
OUB190516-N-1,12,90.88,6.11,3.11,122.40,3.73,<0.28,,,
OPB190516-N-1,13,96.08,5.78,1.96,124.84,1.80,0.52,,,
OPP190516-N-1,14,92.77,5.74,2.48,58.94,4.13,<0.28,,,
RHL190517-N-1,15,213.44,10.93,8.05,961.64,32.44,9.14,,,
RON190517-N-1,16,105.07,8.85,3.96,188.94,10.14,<0.28,,,
RFS190517-N-1,17,331.74,22.60,22.16,1689.35,216.67,9.23,,,
RKO190517-N-1,18,182.20,12.79,10.60,914.34,89.97,2.10,,,
RKV190517-N-1,19,152.39,10.09,8.17,954.63,50.00,4.81,,,
