,,Data Provided by:,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,
,,808-956-5878,,,,,,,,,
,,,,,,,,,,,
,,Date Samples Received:,,9/13/23,FR2,,,,,,
,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,
,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,
RCB230907-N-1,1,131.91,8.39,5.73,454.57,27.28,4.56,,,,
RWA230907-N-1,2,109.72,9.82,7.94,432.28,6.78,2.45,,,,
OCO230907-N-1,3,92.04,6.28,4.11,317.05,1.36,2.24,,,,
OMM230907-N-1,4,102.48,6.53,5.39,428.34,2.24,2.24,,,,
LMT230905-N-1,5,108.61,5.85,4.56,210.88,4.23,2.50,,,,
LMR230905-N-1,6,110.09,8.27,5.49,336.04,3.02,4.27,,,,
LPS230905-N-1,7,110.34,6.23,4.29,134.69,2.00,2.83,,,,
LLH230905-N-1,8,107.78,7.01,4.83,149.66,1.96,3.15,,,,
PFF230905-N-1,9,120.66,6.99,4.91,91.01,2.03,2.08,,,,
PLH230905-N-1,10,136.16,11.47,8.35,358.87,4.87,5.54,,,,
PLT230905-N-1,11,150.03,13.46,10.20,778.45,12.09,7.92,,,,
