,,,Data Provided by:,,,,
,,,SOEST Laboratory for ,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,
,,,University of Hawaii at Manoa ,,,,
,,,1000 Pope Rd,,,,
,,,"Honolulu, HI 96822",,,,
,,,808-956-5878,,,,
,,,Date Samples Received:,,7/24/18,,
,,,,,,,
,,,Project:,MNMRC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS180717-N-1,1 TNC WEST,106.93,15.31,8.26,526.79,26.46,3.63
RPO180717-N-1,2 TNC WEST,203.26,15.61,10.05,844.11,134.97,2.22
RKS180717-N-1,3 TNC WEST,80.21,13.36,5.61,342.23,4.05,0.31,,
RCB180717-N-1,4 TNC WEST,163.68,14.38,8.45,786.07,95.71,1.38,,
RWA180717-N-1,5 TNC WEST,86.09,13.99,7.12,453.29,14.45,0.31,,
PFF180718-N-1,6 TNC WEST,100.98,16.97,14.89,1457.86,10.04,1.14,,
PLH180718-N-1,7 TNC WEST,97.99,15.04,10.28,443.55,14.02,2.50,,
PLT180718-N-1,8 TNC WEST,123.38,16.43,7.25,323.82,13.71,4.75,,
OSF180718-N-1,9 TNC WEST,117.34,16.96,6.13,95.10,6.14,4.05,,
OPM180719-N-1,10 TNC WEST,70.78,15.24,4.59,174.95,2.11,<0.28,,
OCO180719-N-1,11 TNC WEST,92.34,14.72,6.02,440.48,4.40,2.19,,
OUB180719-N-1,12 TNC WEST,77.12,15.70,4.53,63.76,0.87,0.91,,
OPB180719-N-1,13 TNC WEST,74.93,14.03,3.77,72.02,2.36,<0.28,,
OPP180719-N-1,14 TNC WEST,81.54,15.31,4.70,94.19,1.46,0.54,,
RHL180720-N-1,15 TNC WEST,96.49,14.51,7.59,350.95,4.90,5.20,,
RON180720-N-1,16 TNC WEST,76.46,11.62,4.15,80.47,4.23,1.76,,
RFS180720-N-1,17 TNC WEST,145.39,15.84,13.48,686.03,67.08,2.23,,
RKV180720-N-1,18 TNC WEST,85.23,11.24,5.80,371.79,8.26,0.97,,
