,,,Data Provided by:,,,,,,
,,,SOEST Laboratory for ,,,,,,
,,,Analtyical Biogeochemistry (S-LAB),,,,,,
,,,University of Hawaii at Manoa ,,,,,,
,,,1000 Pope Rd,,,,,,
,,,"Honolulu, HI 96822",,,,,,
,,,808-956-5878,,,,,,
,,,,,,,,,
,,,Date Samples Received:,,1/15/19,,,,
,,,,,,,,,
,,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
RNS190108-N-1,1,77.30,6.71,4.86,115.34,11.45,1.85,,
RPO190108-N-1,2,92.42,9.39,7.32,330.76,27.14,2.59,,
RKS190108-N-1,3,73.33,6.54,3.67,111.35,5.85,1.32,,
RCB190108-N-1,4,169.83,9.96,8.84,769.69,80.72,2.04,,
RWA190108-N-1,5,82.74,9.39,7.54,467.93,14.88,0.72,,
PFF190109-N-1,6,92.69,8.00,4.80,52.29,3.57,0.80,,
PLH190109-N-1,7,83.74,9.96,7.08,366.50,7.22,2.12,,
PLT190109-N-1,8,91.52,12.05,10.69,567.16,14.83,4.60,,
OSF190109-N-1,9,81.49,5.74,3.48,133.28,6.62,1.53,,
OPM190110-N-1,10,79.65,7.84,5.74,154.63,4.56,4.43,,
OCO190110-N-1,11,79.62,6.96,6.04,382.61,5.82,1.81,,
OUB190110-N-1,12,81.66,6.65,3.52,51.12,5.87,2.77,,
OPB190110-N-1,13,55.36,3.89,2.90,34.17,2.28,0.45,,
OPP190110-N-1,14,72.87,7.01,3.24,102.82,2.40,5.01,,
RHL190111-N-1,15,102.81,14.02,11.40,531.03,6.89,2.98,,
RON190111-N-1,16,73.04,6.95,3.20,38.26,7.27,1.57,,
RFS190111-N-1,17,102.83,13.52,11.63,249.46,21.59,4.86,,
RKO190111-N-1,18,125.73,13.53,10.17,274.41,37.72,4.99,,
RKV190111-N-1,19,73.79,6.44,4.62,119.66,8.69,1.90,,
