,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,5/17/17,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS170509-N-1,1 TNC,137.54,17.93,13.54,1088.85,56.57,5.10
RPO170509-N-1,2 TNC,256.83,17.07,15.82,1412.92,171.36,4.94
RKS170509-N-1,3 TNC,117.85,10.05,7.06,300.10,9.84,7.68,,
RAB170509-N-1,4 TNC,116.75,12.28,8.49,562.57,25.13,5.99,,
RCB170509-N-1,5 TNC,230.57,15.60,13.62,1488.58,156.20,5.01,,
RWA170509-N-1,6 TNC,113.94,14.22,12.10,983.76,35.72,4.87,,
PFF170510-N-1,7 TNC,64.53,8.41,6.17,296.93,3.01,1.92,,
PLH170510-N-1,8 TNC,67.52,8.33,6.28,203.96,7.82,2.56,,
PLT170510-N-1,9 TNC,69.50,17.55,5.04,61.30,4.65,4.90,,
PPU170510-N-1,10 TNC,69.50,9.38,4.86,222.52,1.68,2.05,,
OLP170510-N-1,11 TNC,68.73,8.82,4.45,103.51,1.64,2.57,,
OSF170510-N-1,12 TNC,73.02,8.63,5.93,94.43,4.35,2.83,,
OPM170511-N-1,13 TNC,76.91,14.57,5.25,220.95,4.15,3.16,,
OCO170511-N-1,14 TNC,64.66,9.25,4.86,286.27,5.27,1.86,,
OMM170511-N-1,15 TNC,60.93,8.69,5.35,355.94,3.89,2.60,,
OUB170511-N-1,16 TNC,67.65,11.57,4.98,102.26,6.23,2.00,,
OPB170511-N-1,17 TNC,71.81,9.22,4.74,155.91,1.82,1.56,,
OPB170511-N-2,18 TNC,72.14,9.82,4.65,155.77,1.80,1.58,,
OPP170511-N-1,19 TNC,67.97,9.75,5.05,79.39,1.63,2.58
,,,,,,,
