,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,11/22/16,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RPO161115-N-1,15 TNC,134.00,11.82,10.33,521.05,41.57,2.91
RKS161115-N-1,18 TNC 11/22/16,80.63,7.94,4.97,232.94,4.91,3.50
RAB161115-N-1,16 TNC,67.22,8.36,5.88,349.27,15.11,<1.5
RCB161115-N-1,17 TNC,79.76,8.32,5.29,430.52,31.95,2.90
RWA161115-N-1,14 TNC,88.51,16.74,15.59,1415.00,43.33,<1.5
PFF161116-N-1,9 TNC,70.63,9.91,8.01,732.59,7.16,<1.5
PLH161116-N-1,4 TNC,122.65,11.75,10.66,469.53,12.19,5.18
PLT161116-N-1,3 TNC,81.31,7.35,5.36,345.45,9.71,2.29
PPU161116-N-1,10 TNC,64.32,3.53,3.54,191.28,4.45,<1.5
OLP161116-N-1,11 TNC,58.70,3.95,3.06,165.01,1.89,<1.5
OSF161116-N-1,6 TNC,72.19,7.07,4.33,140.77,6.01,2.66
OPM161117-N-1,7 TNC,62.87,5.05,4.16,140.57,6.77,<1.5
OCO161117-N-1,5 TNC,62.82,5.14,3.48,107.68,6.76,1.56
OCO161117-N-2,1 TNC 11/22/16,61.22,4.98,3.18,112.56,6.93,<1.5
OMM161117-N-1,12 TNC,58.76,4.58,3.62,365.31,7.98,<1.5
OUB161117-N-1,8 TNC,58.01,4.10,3.36,110.15,5.78,<1.5
OPB161117-N-1,2 TNC,60.45,7.25,3.44,81.36,8.09,<1.5
OPP161117-N-1,13 TNC,59.46,3.95,3.35,165.43,6.71,<1.5
,,,,
