,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,7/18/17,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS170711-N-1,1 TNC,142.77,17.73,13.49,1216.76,83.53,7.87
RPO170711-N-1,2 TNC,272.94,18.08,15.14,1651.57,252.84,6.35
RKS170711-N-1,3 TNC,76.71,12.28,6.33,263.19,16.23,5.59,,
RAB170711-N-1,4 TNC,108.20,13.94,7.62,673.69,47.01,2.81,,
RCB170711-N-1,5 TNC,182.63,15.07,10.81,1282.27,146.96,3.22,,
RWA170711-N-1,6 TNC,78.21,12.88,7.07,528.03,22.21,0.86,,
PFF170712-N-1,7 TNC,71.27,11.81,6.37,265.14,7.73,1.62,,
PLH170712-N-1,8 TNC,69.26,10.39,6.82,278.27,12.30,3.23,,
PLT170712-N-1,9 TNC,77.07,12.20,6.52,512.47,21.68,5.08,,
PPU170712-N-1,10 TNC,72.58,8.97,3.47,177.75,7.89,2.16,,
OLP170712-N-1,11 TNC,73.60,10.64,3.77,103.36,7.47,2.08,,
OSF170712-N-1,12 TNC,65.01,11.90,4.88,125.82,9.24,2.78,,
OPM170713-N-1,13 TNC,94.73,10.78,5.26,144.13,9.77,2.56,,
OCO170713-N-1,14 TNC,71.99,7.78,4.71,219.15,7.67,3.19,,
OMM170713-N-1,15 TNC,58.96,7.98,4.99,256.80,7.65,1.92,,
OUB170713-N-1,16 TNC,71.01,8.84,3.87,52.08,7.09,1.25,,
OPB170713-N-1,17 TNC,62.99,9.49,3.48,142.38,8.58,1.85,,
OPP170713-N-1,18 TNC,63.94,10.06,5.80,136.98,7.27,1.55,,
RHL170714-N-1,19 TNC,94.26,10.24,4.70,176.09,7.23,3.36
RFN170714-N-1,20 TNC,70.67,9.91,5.50,311.63,11.99,3.15
RON170714-N-1,21 TNC,66.79,12.74,4.31,88.08,8.95,1.24
RFS170714-N-1,22 TNC,357.03,44.35,30.05,2740.61,326.81,5.23
RKO170714-N-1,23 TNC,99.54,13.42,6.54,315.72,39.02,3.14
RKV170714-N-1,24 TNC,101.08,15.19,6.30,280.71,20.23,13.06
