,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,4/19/23,WM120,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,Salinity,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,0/00,,,,
RNS230411-N-1,1,86.93,13.18,5.69,275.58,9.72,3.11,34.70,,,,
RPO230411-N-1,2,390.76,13.67,10.36,1441.27,151.15,4.37,33.52,,,,
RKS230411-N-1,3,81.81,8.42,5.57,234.87,10.35,1.98,34.41,,,,
RKT230411-N-1,4,102.08,9.81,5.08,99.21,5.95,2.79,34.77,,,,
RCB230411-N-1,5,93.56,10.53,6.50,412.75,26.67,4.32,34.44,,,,
RWA230411-N-1,6,87.32,13.69,9.86,928.76,24.78,3.62,33.72,,,,
PFF230412-N-1,7,78.05,10.70,8.37,686.42,2.82,7.39,33.76,,,,
PLH230412-N-1,8,81.42,8.89,6.20,446.14,6.61,3.37,34.06,,,,
PLT230412-N-1,9,91.38,8.49,5.68,354.73,9.64,6.49,34.24,,,,
OCO230412-N-1,10,80.04,5.18,2.37,162.28,2.11,3.40,34.91,,,,
OPP230412-N-1,11,70.97,7.77,3.83,424.19,4.45,2.44,34.56,,,,
RHL230413-N-1,12,86.78,12.01,8.43,702.42,4.27,4.89,33.48,,,,
RON230413-N-1,13,83.32,8.32,2.69,100.26,2.06,2.26,34.83,,,,
RFS230413-N-1,14,143.74,15.70,12.56,1077.88,65.83,5.21,33.69,,,,
RKO230413-N-1,15,111.09,11.38,8.43,604.55,32.40,3.54,34.19,,,,
RKV230413-N-1,16,91.69,8.96,5.35,351.21,16.72,2.47,34.47,,,,
