,,Data Provided by:,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,
,,808-956-5878,,,,,,,,,
,,,,,,,,,,,
,,Date Samples Received:,,8/21/23,WM126,,,,,,
,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,
,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,
RNS230815-N-1,1,150.48,10.29,9.81,851.08,37.44,3.19,,,,
RPO230815-N-1,2,388.41,11.64,10.18,2093.25,223.80,4.71,,,,
RKS230815-N-1,3,120.78,4.92,4.44,233.27,6.71,4.80,,,,
RKT230815-N-1,4,118.38,4.81,3.47,133.32,2.64,2.23,,,,
RCB230815-N-1,5,153.73,7.48,6.18,639.35,42.17,4.61,,,,
RWA230815-N-1,6,112.25,9.78,9.23,923.85,19.32,3.30,,,,
OCO230816-N-1,7,120.69,5.02,3.62,307.28,2.33,3.30,,,,
OMM230816-N-1,8,114.01,3.71,3.13,366.16,4.24,3.50,,,,
OUB230816-N-1,9,103.93,5.86,4.13,228.91,3.05,2.97,,,,
OPP230816-N-1,10,100.80,3.93,3.15,114.03,0.98,7.78,,,,
RHL230817-N-1,11,149.31,7.83,6.60,458.99,2.90,8.66,,,,
RON230817-N-1,12,94.44,4.96,3.40,150.47,1.83,2.80,,,,
RFS230817-N-1,13,292.04,16.12,15.41,2302.34,141.30,4.25,,,,
RKO230817-N-1,14,152.35,8.49,6.36,428.21,31.58,3.33,,,,
RKV230817-N-1,15,130.60,6.00,5.81,736.92,38.84,4.48,,,,
