,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,6/20/16,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RPO160614-N-1,TNC 1,311.07,26.26,18.72,1697.47,233.11,2.81
RKS160614-N-1,TNC 2,75.08,18.80,9.06,1720.37,5.65,4.15
RAB160614-N-1,TNC 3,91.26,10.73,8.46,604.37,24.72,1.88
RCB160614-N-1,TNC 4,117.22,16.68,9.40,576.28,49.04,2.27
RWA160614-N-1,TNC 5,84.60,24.07,12.38,822.08,21.35,<1.5
PFF160615-N-1,TNC 6,65.90,17.64,7.82,461.59,2.70,1.84
PLH160615-N-1,TNC 7,90.04,14.32,6.22,169.92,2.79,2.89
PLT160615-N-1,TNC 8,72.13,11.00,5.58,125.36,4.24,2.57
OSF160615-N-1,TNC 9,71.07,14.41,4.85,72.90,4.07,2.80
OCO160616-N-1,TNC 10,78.22,10.80,7.56,330.61,5.91,2.74
OMM160616-N-1,TNC 11,107.57,15.37,7.28,451.55,7.11,8.69
OUB160616-N-1,TNC 12,63.47,16.77,6.34,112.01,2.64,1.79
OPB160616-N-1,TNC 13,66.16,20.47,5.71,137.90,2.84,1.92
OPP160616-N-1,TNC 14,122.85,20.40,6.52,145.40,3.26,4.45
,,110,16,,,3.5,2
