,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,12/20/16,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RPO161213-N-1,1 TNC,119.40,18.53,13.82,867.63,81.84,3.22
RKS161213-N-1,2 TNC,71.93,10.87,6.41,654.79,12.31,3.73
RAB161213-N-1,3 TNC,62.36,13.42,4.78,343.80,18.57,<1.5
RCB161213-N-1,4 TNC,79.00,13.91,6.44,437.30,34.54,4.26
RWA161213-N-1,5 TNC,74.45,14.71,8.36,760.93,28.97,2.36
PFF161214-N-1,6 TNC,53.94,10.64,4.74,147.19,5.60,1.70
PLH161214-N-1,7 TNC,97.74,19.06,11.79,601.12,21.63,6.23
PLT161214-N-1,8 TNC,90.52,13.58,8.28,669.23,45.98,5.20
PLT161214-N-2,9 TNC,91.14,13.36,8.26,681.73,45.86,5.36
PPU161214-N-1,10 TNC,53.38,9.14,2.94,261.28,1.56,2.05
OLP161214-N-1,11 TNC,50.61,7.15,2.45,152.40,3.37,2.01
OSF161214-N-1,12 TNC,75.56,8.27,4.71,139.35,24.19,4.19
OPM161215-N-1,13 TNC,78.97,8.29,5.00,322.04,30.48,2.62
OCO161215-N-1,14 TNC,60.62,7.91,3.80,217.09,14.94,3.16
OMM161215-N-1,15 TNC,62.18,9.84,3.87,320.26,12.41,4.04
OUB161215-N-1,16 TNC,53.71,9.19,2.63,80.26,7.38,1.60
OPB161215-N-1,17 TNC,62.85,9.89,4.30,129.31,18.82,1.82
OPP161215-N-1,18 TNC,59.82,10.64,5.05,171.01,16.61,2.91
,,,,
