,,,Data Provided by:,,,,
,,,,SOEST Laboratory for ,,,
,,,,Analtyical Biogeochemistry (S-LAB),,,
,,,,University of Hawaii at Manoa ,,,
,,,,1000 Pope Rd,,,
,,,,"Honolulu, HI 96822",,,
,,,,808-956-5878,,,
,,,,Date Samples Received:,,3/14/17,
,,,,,,,
,,,,Project:,TNC,Project: NFWF West Maui WQ Sampling; OED/Marisla West Maui WQ Samplng,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS170307-N-1,1 TNC,224.47,15.19,9.21,171.59,16.23,15.98
RPO170307-N-1,2 TNC,277.55,19.50,17.47,1038.69,231.41,7.05
RKS170307-N-1,3 TNC,71.10,9.51,6.58,102.52,5.40,5.96,,
RAB170307-N-1,4 TNC,74.76,13.16,10.30,263.05,11.25,6.23,,
RCB170307-N-1,5 TNC,122.36,10.73,8.64,398.69,63.58,7.36,,
RWA170307-N-1,6 TNC,99.98,18.30,14.53,742.36,37.20,5.24,,
PFF170308-N-1,7 TNC,96.43,10.88,9.02,396.10,2.53,7.35,,
PLH170308-N-1,8 TNC,76.94,10.36,8.90,290.11,13.06,6.65,,
PLT170308-N-1,9 TNC,71.71,9.87,7.07,175.61,6.94,7.32,,
PPU170308-N-1,10 TNC,79.27,9.09,4.78,101.65,2.55,6.55,,
OLP170308-N-1,11 TNC,70.08,6.69,3.79,74.47,2.15,6.08,,
OSF170308-N-1,12 TNC,80.98,7.28,5.50,100.44,6.17,8.93,,
OPM170309-N-1,13 TNC,72.61,8.51,5.12,133.01,8.53,5.43,,
OCO170309-N-1,14 TNC,89.82,10.30,6.08,153.49,8.37,7.69,,
OMM170309-N-1,15 TNC,69.96,7.90,5.19,189.55,8.49,7.27,,
OUB170309-N-1,16 TNC,75.57,10.20,5.87,99.46,11.69,5.92,,
OUB170309-N-2,17 TNC,77.05,9.78,5.96,99.58,11.47,6.02,,
OPB170309-N-1,18 TNC,65.50,8.75,4.74,59.62,5.76,6.13,,
OPP170309-N-1,19 TNC,65.09,6.80,4.90,64.40,6.27,5.77
,,,,,,,
