,,Data Provided by:,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,
,,808-956-5878,,,,,,,,,
,,,,,,,,,,,
,,Date Samples Received:,,11/3/23,WM129,,,,,,
,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,
,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,
RNS231024-N-1,1,80.75,6.90,4.84,285.82,8.52,4.10,,,,
RPO231024-N-1,2,128.91,11.26,10.52,726.85,62.71,3.31,,,,
RKS231024-N-1,3,79.43,6.76,4.50,137.11,5.03,2.12,,,,
RKT231024-N-1,4,71.97,7.09,5.10,162.94,5.31,1.75,,,,
RCB231024-N-1,5,98.65,8.74,5.51,238.86,18.65,4.79,,,,
RWA231024-N-1,6,84.61,9.45,6.67,366.81,5.49,2.20,,,,
OCO231025-N-1,7,80.99,4.95,3.39,365.47,3.47,2.94,,,,
OMM231025-N-1,8,76.85,4.32,2.68,322.16,4.87,3.77,,,,
OUB231025-N-1,9,80.85,4.06,2.39,79.92,2.31,2.43,,,,
OPP231025-N-1,10,72.35,3.74,1.79,177.28,4.28,1.17,,,,
RHL231026-N-1,11,79.10,9.39,8.33,530.28,7.46,4.44,,,,
RON231026-N-1,12,75.35,6.18,3.37,80.15,4.31,3.12,,,,
RFS231026-N-1,13,115.56,9.47,8.38,503.65,41.42,3.01,,,,
RKO231026-N-1,14,134.21,10.46,10.59,721.59,62.91,2.72,,,,
RKV231026-N-1,15,97.97,7.18,7.10,553.25,22.84,1.93,,,,
