,,Data Provided by:,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,
,,808-956-5878,,,,,,,,,
,,,,,,,,,,,
,,Date Samples Received:,,10/10/23,WM128,,,,,,
,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,
,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,
RNS231003-N-1,1,109.82,8.22,4.76,187.60,8.95,5.61,,,,
RPO231003-N-1,2,97.70,8.82,4.75,235.67,18.74,7.54,,,,
RKS231003-N-1,3,79.35,7.64,3.77,128.04,6.35,2.25,,,,
RKT231003-N-1,4,98.74,7.63,3.22,163.25,8.31,1.52,,,,
RCB231003-N-1,5,79.90,8.19,3.94,177.82,8.72,3.69,,,,
RWA231003-N-1,6,88.36,8.81,5.94,364.88,6.68,1.49,,,,
OCO231004-N-1,7,68.52,4.04,2.30,281.76,3.03,0.72,,,,
OMM231004-N-1,8,76.91,4.44,4.42,350.53,4.38,1.24,,,,
OUB231004-N-1,9,71.92,6.12,3.64,66.59,3.07,1.06,,,,
OPP231004-N-1,10,69.90,5.90,3.59,162.69,2.19,0.69,,,,
RHL231005-N-1,11,85.77,10.14,8.44,331.65,4.26,3.80,,,,
RON231005-N-1,12,83.71,7.20,2.91,79.36,3.37,2.07,,,,
RFS231005-N-1,13,84.18,11.39,8.97,207.97,10.49,3.81,,,,
RKO231005-N-1,14,116.02,9.65,6.96,431.74,21.09,3.69,,,,
RKV231005-N-1,15,75.55,7.24,5.68,373.21,10.27,1.22,,,,
